City/Municipality, Number of Households* , Electricity , Kerosene (Gaas) , Liquified Petroleum Gas (LPG) , Oil (vegetable animal and others) , Solar panel , Solar lamp , Others , None , Not Reported 
REMEDIOS T. ROMUALDEZ,  3.507 ,  3.004 ,  501 ,  -   ,  -   ,  1 ,  -   ,  1 ,  -   ,  -   
BUTUAN CITY (Capital),  76.206 ,  68.687 ,  7.041 ,  78 ,  9 ,  61 ,  159 ,  116 ,  55 ,  -   
AGUSAN DEL SUR,  153.653 ,  116.409 ,  29.124 ,  333 ,  154 ,  2.859 ,  3.647 ,  842 ,  284 ,  1 
CITY OF BAYUGAN,  22.658 ,  19.185 ,  3.279 ,  2 ,  2 ,  49 ,  117 ,  17 ,  7 ,  -   
BUNAWAN,  10.530 ,  8.158 ,  1.728 ,  37 ,  14 ,  326 ,  231 ,  34 ,  2 ,  -   
ESPERANZA,  11.654 ,  7.838 ,  2.614 ,  3 ,  1 ,  667 ,  495 ,  10 ,  26 ,  -   
LA PAZ,  5.297 ,  3.041 ,  1.450 ,  60 ,  2 ,  267 ,  445 ,  28 ,  4 ,  -   
LORETO,  9.028 ,  5.599 ,  2.262 ,  6 ,  54 ,  361 ,  744 ,  2 ,  -   ,  -   
PROSPERIDAD (Capital),  18.423 ,  14.287 ,  3.700 ,  17 ,  1 ,  93 ,  229 ,  90 ,  6 ,  -   
ROSARIO,  10.097 ,  8.148 ,  1.664 ,  9 ,  3 ,  47 ,  112 ,  43 ,  71 ,  -   
SAN FRANCISCO,  17.151 ,  14.392 ,  2.274 ,  27 ,  59 ,  68 ,  293 ,  33 ,  5 ,  -   
SAN LUIS,  6.700 ,  3.815 ,  1.764 ,  86 ,  -   ,  516 ,  125 ,  374 ,  20 ,  -   
SANTA JOSEFA,  5.860 ,  4.549 ,  1.023 ,  5 ,  5 ,  58 ,  220 ,  -   ,  -   ,  -   
TALACOGON,  8.285 ,  6.308 ,  1.610 ,  36 ,  1 ,  128 ,  107 ,  54 ,  41 ,  -   
TRENTO,  11.931 ,  9.833 ,  1.803 ,  11 ,  9 ,  55 ,  122 ,  95 ,  3 ,  -   
VERUELA,  9.395 ,  6.201 ,  2.606 ,  30 ,  2 ,  122 ,  322 ,  13 ,  98 ,  1 
SIBAGAT,  6.644 ,  5.055 ,  1.347 ,  4 ,  1 ,  102 ,  85 ,  49 ,  1 ,  -   
SURIGAO DEL NORTE,  108.814 ,  102.093 ,  5.746 ,  200 ,  17 ,  348 ,  148 ,  205 ,  57 ,  -   
ALEGRIA,  3.415 ,  3.189 ,  220 ,  -   ,  -   ,  -   ,  5 ,  1 ,  -   ,  -   
BACUAG,  3.107 ,  2.877 ,  219 ,  2 ,  -   ,  -   ,  1 ,  1 ,  7 ,  -   
BURGOS,  919 ,  861 ,  57 ,  -   ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   
CLAVER,  7.357 ,  7.046 ,  244 ,  11 ,  1 ,  6 ,  31 ,  16 ,  2 ,  -   
DAPA,  5.139 ,  4.683 ,  357 ,  -   ,  -   ,  50 ,  3 ,  45 ,  1 ,  -   
DEL CARMEN,  3.973 ,  3.657 ,  289 ,  14 ,  -   ,  3 ,  4 ,  3 ,  3 ,  -   
GENERAL LUNA,  3.847 ,  3.195 ,  376 ,  6 ,  -   ,  214 ,  19 ,  35 ,  2 ,  -   
GIGAQUIT,  4.532 ,  4.165 ,  327 ,  -   ,  -   ,  30 ,  9 ,  -   ,  1 ,  -   
MAINIT,  5.975 ,  5.572 ,  390 ,  1 ,  -   ,  1 ,  6 ,  3 ,  2 ,  -   
MALIMONO,  3.995 ,  3.766 ,  209 ,  5 ,  -   ,  1 ,  9 ,  -   ,  5 ,  -   
PILAR,  2.401 ,  2.159 ,  239 ,  -   ,  -   ,  1 ,  1 ,  1 ,  -   ,  -   
PLACER,  5.922 ,  5.511 ,  349 ,  4 ,  1 ,  1 ,  8 ,  29 ,  19 ,  -   
SAN BENITO,  1.222 ,  1.143 ,  77 ,  1 ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   
SAN FRANCISCO (ANAO-AON),  3.256 ,  3.109 ,  140 ,  1 ,  -   ,  -   ,  6 ,  -   ,  -   ,  -   
SAN ISIDRO,  1.625 ,  1.470 ,  148 ,  1 ,  1 ,  1 ,  1 ,  3 ,  -   ,  -   
SANTA MONICA (SAPAO),  1.986 ,  1.873 ,  98 ,  -   ,  -   ,  -   ,  12 ,  3 ,  -   ,  -   
SISON,  2.920 ,  2.732 ,  185 ,  -   ,  -   ,  -   ,  -   ,  3 ,  -   ,  -   
SOCORRO,  4.417 ,  4.256 ,  129 ,  15 ,  -   ,  5 ,  9 ,  2 ,  1 ,  -   
SURIGAO CITY (Capital),  35.784 ,  34.306 ,  1.221 ,  137 ,  12 ,  31 ,  20 ,  50 ,  7 ,  -   
TAGANA-AN,  3.779 ,  3.440 ,  319 ,  2 ,  2 ,  4 ,  -   ,  9 ,  3 ,  -   
TUBOD,  3.243 ,  3.083 ,  153 ,  -   ,  -   ,  -   ,  3 ,  1 ,  3 ,  -   
SURIGAO DEL SUR,  129.159 ,  110.568 ,  16.938 ,  266 ,  9 ,  529 ,  656 ,  141 ,  52 ,  -   
BAROBO,  10.690 ,  9.120 ,  1.509 ,  -   ,  -   ,  9 ,  43 ,  2 ,  7 ,  -   
BAYABAS,  1.738 ,  1.412 ,  322 ,  -   ,  -   ,  2 ,  1 ,  1 ,  -   ,  -   
CITY OF BISLIG,  21.314 ,  18.869 ,  2.138 ,  9 ,  -   ,  62 ,  135 ,  74 ,  27 ,  -   
CAGWAIT,  4.359 ,  3.852 ,  462 ,  1 ,  2 ,  3 ,  3 ,  36 ,  -   ,  -   
CANTILAN,  7.058 ,  6.374 ,  384 ,  53 ,  -   ,  194 ,  53 ,  -   ,  -   ,  -   
CARMEN,  2.330 ,  2.144 ,  182 ,  -   ,  -   ,  1 ,  2 ,  1 ,  -   ,  -   
CARRASCAL,  5.018 ,  4.707 ,  259 ,  40 ,  -   ,  -   ,  12 ,  -   ,  -   ,  -   
CORTES,  3.530 ,  3.265 ,  242 ,  -   ,  -   ,  3 ,  17 ,  3 ,  -   ,  -   
HINATUAN,  8.867 ,  6.973 ,  1.666 ,  142 ,  -   ,  12 ,  64 ,  1 ,  9 ,  -   
LANUZA,  2.783 ,  2.335 ,  284 ,  1 ,  -   ,  139 ,  23 ,  1 ,  -   ,  -   
LIANGA,  6.302 ,  5.493 ,  764 ,  -   ,  -   ,  9 ,  26 ,  3 ,  7 ,  -   
LINGIG,  7.094 ,  5.524 ,  1.484 ,  -   ,  -   ,  20 ,  65 ,  1 ,  -   ,  -   
MADRID,  3.504 ,  3.339 ,  155 ,  -   ,  -   ,  5 ,  4 ,  -   ,  1 ,  -   
MARIHATAG,  3.699 ,  3.194 ,  490 ,  -   ,  -   ,  3 ,  7 ,  5 ,  -   ,  -   
SAN AGUSTIN,  4.584 ,  3.519 ,  1.028 ,  -   ,  1 ,  12 ,  24 ,  -   ,  -   ,  -   
SAN MIGUEL,  7.980 ,  5.903 ,  1.996 ,  -   ,  -   ,  24 ,  57 ,  -   ,  -   ,  -   
TAGBINA,  8.368 ,  6.794 ,  1.510 ,  -   ,  -   ,  16 ,  47 ,  -   ,  1 ,  -   
TAGO,  7.898 ,  6.553 ,  1.270 ,  20 ,  -   ,  5 ,  50 ,  -   ,  -   ,  -   
CITY OF TANDAG (Capital),  12.043 ,  11.198 ,  793 ,  -   ,  6 ,  10 ,  23 ,  13 ,  -   ,  -   
DINAGAT ISLANDS,  28.557 ,  23.596 ,  4.472 ,  200 ,  6 ,  35 ,  176 ,  55 ,  17 ,  -   
BASILISA (RIZAL),  8.588 ,  6.672 ,  1.748 ,  60 ,  3 ,  3 ,  93 ,  5 ,  4 ,  -   
CAGDIANAO,  3.777 ,  3.069 ,  673 ,  1 ,  -   ,  5 ,  14 ,  10 ,  5 ,  -   
DINAGAT,  2.220 ,  1.788 ,  287 ,  110 ,  -   ,  7 ,  17 ,  10 ,  1 ,  -   
LIBJO (ALBOR),  4.103 ,  3.558 ,  512 ,  17 ,  -   ,  1 ,  14 ,  -   ,  1 ,  -   
LORETO,  2.259 ,  1.886 ,  358 ,  1 ,  1 ,  3 ,  8 ,  1 ,  1 ,  -   
SAN JOSE (CAPITAL),  5.765 ,  5.071 ,  616 ,  10 ,  2 ,  13 ,  27 ,  21 ,  5 ,  -   
TUBAJON,  1.845 ,  1.552 ,  278 ,  1 ,  -   ,  3 ,  3 ,  8 ,  -   ,  -   
,,,,,,,,,,
AUTONOMOUS REGION IN MUSLIM MINDANAO,  620.385 ,  326.827 ,  114.201 ,  4.066 ,  1.197 ,  70.224 ,  100.832 ,  1.246 ,  1.415 ,  377 
 BASILAN ,  59.860 ,  29.893 ,  22.838 ,  432 ,  47 ,  3.034 ,  3.295 ,  86 ,  234 ,  1 
 CITY OF LAMITAN ,  15.065 ,  12.330 ,  2.532 ,  92 ,  3 ,  20 ,  36 ,  24 ,  27 ,  1 
 LANTAWAN ,  4.609 ,  2.693 ,  1.671 ,  3 ,  7 ,  34 ,  184 ,  1 ,  16 ,  -   
 MALUSO ,  6.294 ,  3.894 ,  1.546 ,  2 ,  1 ,  267 ,  562 ,  11 ,  11 ,  -   
 SUMISIP ,  7.408 ,  1.070 ,  5.068 ,  128 ,  1 ,  466 ,  651 ,  -   ,  24 ,  -   
 TIPO-TIPO ,  3.149 ,  1.794 ,  1.115 ,  13 ,  -   ,  9 ,  214 ,  1 ,  3 ,  -   
 TUBURAN ,  3.239 ,  2.412 ,  761 ,  60 ,  1 ,  -   ,  4 ,  -   ,  1 ,  -   
 AKBAR ,  2.820 ,  1.400 ,  1.194 ,  52 ,  1 ,  130 ,  42 ,  -   ,  1 ,  -   
 AL-BARKA ,  3.662 ,  1.010 ,  2.308 ,  35 ,  28 ,  66 ,  210 ,  -   ,  5 ,  -   
 HADJI MOHAMMAD AJUL ,  2.948 ,  1.373 ,  1.446 ,  3 ,  -   ,  20 ,  91 ,  -   ,  15 ,  -   
 UNGKAYA PUKAN ,  3.095 ,  1.690 ,  1.195 ,  1 ,  -   ,  17 ,  43 ,  36 ,  113 ,  -   
 HADJI MUHTAMAD ,  3.956 ,  127 ,  1.965 ,  3 ,  2 ,  1.070 ,  780 ,  9 ,  -   ,  -   
 TABUAN-LASA ,  3.615 ,  100 ,  2.037 ,  40 ,  3 ,  935 ,  478 ,  4 ,  18 ,  -   
 LANAO DEL SUR ,  160.132 ,  110.150 ,  5.538 ,  609 ,  134 ,  22.830 ,  20.238 ,  240 ,  136 ,  257 
 BACOLOD-KALAWI (BACOLOD GRANDE) ,  3.300 ,  3.025 ,  10 ,  -   ,  -   ,  64 ,  200 ,  1 ,  -   ,  -   
 BALABAGAN ,  4.769 ,  42 ,  429 ,  93 ,  1 ,  1.963 ,  2.228 ,  10 ,  3 ,  -   
 BALINDONG (WATU) ,  4.183 ,  4.176 ,  3 ,  1 ,  -   ,  3 ,  -   ,  -   ,  -   ,  -   
 BAYANG ,  3.536 ,  44 ,  79 ,  -   ,  -   ,  2.657 ,  755 ,  -   ,  1 ,  -   
 BINIDAYAN ,  3.397 ,  84 ,  226 ,  3 ,  3 ,  1.916 ,  1.152 ,  -   ,  13 ,  -   
 BUBONG ,  3.158 ,  3.077 ,  1 ,  1 ,  -   ,  72 ,  7 ,  -   ,  -   ,  -   
 BUTIG ,  3.098 ,  2.981 ,  22 ,  8 ,  -   ,  15 ,  72 ,  -   ,  -   ,  -   
 GANASSI ,  3.579 ,  11 ,  135 ,  3 ,  -   ,  1.781 ,  1.647 ,  1 ,  1 ,  -   
 KAPAI ,  2.723 ,  2.644 ,  41 ,  -   ,  -   ,  -   ,  38 ,  -   ,  -   ,  -   
 LUMBA-BAYABAO (MAGUING) ,  5.768 ,  5.528 ,  116 ,  4 ,  7 ,  32 ,  81 ,  -   ,  -   ,  -   
 LUMBATAN ,  2.913 ,  882 ,  98 ,  3 ,  1 ,  684 ,  1.242 ,  2 ,  1 ,  -   
 MADALUM ,  3.701 ,  2.616 ,  240 ,  -   ,  2 ,  514 ,  326 ,  -   ,  3 ,  -   
 MADAMBA ,  2.630 ,  37 ,  510 ,  2 ,  -   ,  880 ,  1.196 ,  1 ,  4 ,  -   
 MALABANG ,  6.713 ,  515 ,  348 ,  1 ,  1 ,  3.620 ,  2.170 ,  7 ,  51 ,  -   
 MARANTAO ,  5.083 ,  4.947 ,  2 ,  4 ,  1 ,  72 ,  57 ,  -   ,  -   ,  -   
 MARAWI CITY ,  29.732 ,  28.623 ,  383 ,  183 ,  111 ,  17 ,  67 ,  84 ,  7 ,  257 
 MASIU ,  4.316 ,  4.259 ,  6 ,  -   ,  1 ,  40 ,  10 ,  -   ,  -   ,  -   
 MULONDO ,  2.246 ,  2.204 ,  -   ,  -   ,  -   ,  4 ,  35 ,  -   ,  3 ,  -   
 PAGAYAWAN (TATARIKAN) ,  1.833 ,  24 ,  252 ,  1 ,  -   ,  1.231 ,  323 ,  -   ,  2 ,  -   
 PIAGAPO ,  4.067 ,  3.137 ,  132 ,  1 ,  1 ,  199 ,  596 ,  -   ,  1 ,  -   
 POONA BAYABAO (GATA) ,  3.558 ,  3.450 ,  85 ,  -   ,  -   ,  13 ,  5 ,  2 ,  3 ,  -   
 PUALAS ,  2.221 ,  5 ,  190 ,  2 ,  -   ,  592 ,  1.425 ,  2 ,  5 ,  -   
 DITSAAN-RAMAIN ,  3.227 ,  3.176 ,  2 ,  1 ,  -   ,  14 ,  32 ,  1 ,  1 ,  -   
 SAGUIARAN ,  3.646 ,  3.316 ,  62 ,  246 ,  -   ,  -   ,  21 ,  -   ,  1 ,  -   
 TAMPARAN ,  3.787 ,  3.778 ,  3 ,  1 ,  -   ,  -   ,  3 ,  -   ,  2 ,  -   
 TARAKA ,  3.463 ,  3.405 ,  38 ,  2 ,  -   ,  -   ,  17 ,  -   ,  1 ,  -   
 TUBARAN ,  2.317 ,  25 ,  47 ,  -   ,  -   ,  1.212 ,  1.031 ,  1 ,  1 ,  -   
 TUGAYA ,  3.160 ,  3.142 ,  14 ,  -   ,  -   ,  2 ,  2 ,  -   ,  -   ,  -   
 WAO ,  9.037 ,  7.782 ,  959 ,  16 ,  -   ,  26 ,  189 ,  44 ,  21 ,  -   
 MAROGONG ,  3.030 ,  18 ,  27 ,  -   ,  -   ,  1.440 ,  1.544 ,  1 ,  -   ,  -   
 CALANOGAS ,  2.130 ,  67 ,  99 ,  -   ,  -   ,  1.029 ,  932 ,  1 ,  2 ,  -   
 BUADIPOSO-BUNTONG ,  2.529 ,  2.484 ,  22 ,  18 ,  -   ,  4 ,  -   ,  -   ,  1 ,  -   
 MAGUING ,  3.738 ,  3.613 ,  22 ,  -   ,  3 ,  66 ,  31 ,  -   ,  3 ,  -   
 PICONG (SULTAN GUMANDER) ,  2.397 ,  176 ,  113 ,  3 ,  2 ,  1.040 ,  1.057 ,  2 ,  4 ,  -   
 LUMBAYANAGUE ,  2.499 ,  2.462 ,  8 ,  -   ,  -   ,  5 ,  24 ,  -   ,  -   ,  -   
 BUMBARAN ,  1.828 ,  1.792 ,  32 ,  -   ,  -   ,  2 ,  1 ,  -   ,  1 ,  -   
 TAGOLOAN II ,  1.478 ,  1.287 ,  94 ,  1 ,  -   ,  9 ,  87 ,  -   ,  -   ,  -   
 KAPATAGAN ,  2.604 ,  22 ,  445 ,  8 ,  -   ,  1.082 ,  967 ,  80 ,  -   ,  -   
 SULTAN DUMALONDONG ,  1.639 ,  1.287 ,  236 ,  1 ,  -   ,  5 ,  110 ,  -   ,  -   ,  -   
 LUMBACA UNAYAN ,  1.099 ,  7 ,  7 ,  2 ,  -   ,  525 ,  558 ,  -   ,  -   ,  -   
 MAGUINDANAO ,  194.507 ,  110.902 ,  33.919 ,  1.162 ,  573 ,  16.278 ,  30.570 ,  448 ,  536 ,  119 
 AMPATUAN ,  3.922 ,  2.871 ,  747 ,  83 ,  4 ,  58 ,  129 ,  16 ,  14 ,  -   
 BULDON ,  5.542 ,  1.725 ,  870 ,  4 ,  8 ,  998 ,  1.912 ,  17 ,  8 ,  -   
 BULUAN ,  7.288 ,  4.025 ,  866 ,  11 ,  4 ,  745 ,  1.635 ,  1 ,  1 ,  -   
 DATU PAGLAS ,  4.668 ,  2.864 ,  972 ,  13 ,  115 ,  202 ,  500 ,  2 ,  -   ,  -   
 DATU PIANG ,  4.184 ,  3.852 ,  220 ,  7 ,  1 ,  10 ,  87 ,  -   ,  7 ,  -   
 DATU ODIN SINSUAT (DINAIG) ,  17.088 ,  13.847 ,  1.400 ,  91 ,  4 ,  375 ,  1.307 ,  10 ,  54 ,  -   
 SHARIFF AGUAK (MAGANOY) (Capital) ,  4.812 ,  3.993 ,  171 ,  6 ,  2 ,  204 ,  422 ,  1 ,  13 ,  -   
 MATANOG ,  4.817 ,  1.467 ,  1.014 ,  15 ,  6 ,  907 ,  1.384 ,  -   ,  24 ,  -   
 PAGALUNGAN ,  6.810 ,  2.633 ,  2.578 ,  4 ,  6 ,  936 ,  621 ,  24 ,  8 ,  -   
 PARANG ,  15.307 ,  11.426 ,  1.777 ,  35 ,  8 ,  835 ,  1.132 ,  53 ,  29 ,  12 
 SULTAN KUDARAT (NULING) ,  15.652 ,  9.401 ,  2.540 ,  8 ,  7 ,  584 ,  2.936 ,  89 ,  42 ,  45 
 SULTAN SA BARONGIS (LAMBAYONG) ,  3.528 ,  1.444 ,  696 ,  198 ,  3 ,  296 ,  883 ,  4 ,  4 ,  -   
 KABUNTALAN (TUMBAO) ,  2.582 ,  1.949 ,  478 ,  3 ,  1 ,  5 ,  137 ,  -   ,  9 ,  -   
 UPI ,  10.943 ,  4.644 ,  3.818 ,  323 ,  2 ,  513 ,  1.626 ,  10 ,  7 ,  -   
 TALAYAN ,  4.683 ,  3.064 ,  284 ,  60 ,  2 ,  648 ,  620 ,  3 ,  2 ,  -   
 SOUTH UPI ,  7.562 ,  1.168 ,  3.338 ,  13 ,  6 ,  891 ,  2.091 ,  47 ,  8 ,  -   
 BARIRA ,  4.980 ,  1.034 ,  952 ,  22 ,  1 ,  1.677 ,  1.206 ,  -   ,  88 ,  -   
 GEN. S. K. PENDATUN ,  4.289 ,  1.788 ,  769 ,  6 ,  28 ,  626 ,  1.031 ,  35 ,  6 ,  -   
 MAMASAPANO ,  3.933 ,  2.705 ,  261 ,  3 ,  17 ,  370 ,  572 ,  5 ,  -   ,  -   
 TALITAY ,  2.425 ,  1.970 ,  286 ,  16 ,  2 ,  39 ,  110 ,  1 ,  1 ,  -   
 PAGAGAWAN ,  5.693 ,  1.493 ,  1.455 ,  6 ,  6 ,  725 ,  1.968 ,  1 ,  39 ,  -   
 PAGLAT ,  2.504 ,  2.033 ,  313 ,  9 ,  3 ,  39 ,  98 ,  2 ,  7 ,  -   
 SULTAN MASTURA ,  3.864 ,  2.600 ,  408 ,  37 ,  1 ,  148 ,  640 ,  25 ,  5 ,  -   
 GUINDULUNGAN ,  3.003 ,  1.904 ,  413 ,  11 ,  17 ,  216 ,  331 ,  10 ,  101 ,  -   
 DATU SAUDI-AMPATUAN ,  4.358 ,  3.464 ,  207 ,  56 ,  1 ,  152 ,  477 ,  -   ,  1 ,  -   
 DATU UNSAY ,  2.029 ,  1.349 ,  264 ,  66 ,  1 ,  138 ,  206 ,  -   ,  5 ,  -   
 DATU ABDULLAH SANGKI ,  3.906 ,  3.126 ,  484 ,  1 ,  3 ,  120 ,  171 ,  -   ,  1 ,  -   
 RAJAH BUAYAN ,  3.770 ,  2.536 ,  338 ,  1 ,  283 ,  173 ,  418 ,  -   ,  21 ,  -   
 DATU BLAH T. SINSUAT ,  4.080 ,  776 ,  1.671 ,  15 ,  -   ,  312 ,  1.220 ,  78 ,  8 ,  -   
 DATU ANGGAL MIDTIMBANG ,  3.844 ,  2.620 ,  770 ,  2 ,  -   ,  86 ,  360 ,  2 ,  4 ,  -   
 MANGUDADATU ,  3.836 ,  1.195 ,  392 ,  1 ,  2 ,  1.357 ,  886 ,  -   ,  3 ,  -   
 PANDAG ,  3.906 ,  1.742 ,  504 ,  1 ,  3 ,  1.234 ,  419 ,  -   ,  3 ,  -   
 NORTHERN KABUNTALAN ,  4.222 ,  2.553 ,  1.208 ,  8 ,  11 ,  98 ,  340 ,  -   ,  4 ,  -   
 DATU HOFFER AMPATUAN ,  4.308 ,  2.540 ,  487 ,  9 ,  1 ,  108 ,  1.152 ,  8 ,  3 ,  -   
 DATU SALIBO ,  2.600 ,  1.581 ,  490 ,  10 ,  1 ,  66 ,  392 ,  4 ,  1 ,  55 
 SHARIFF SAYDONA MUSTAPHA ,  3.569 ,  1.520 ,  478 ,  8 ,  13 ,  387 ,  1.151 ,  -   ,  5 ,  7 
 SULU ,  138.357 ,  45.786 ,  38.535 ,  724 ,  146 ,  21.080 ,  31.432 ,  263 ,  391 ,  -   
 INDANAN ,  13.954 ,  4.008 ,  6.760 ,  13 ,  22 ,  671 ,  2.453 ,  3 ,  24 ,  -   
 JOLO (Capital) ,  19.443 ,  17.741 ,  1.300 ,  60 ,  7 ,  167 ,  90 ,  20 ,  58 ,  -   
 KALINGALAN CALUANG ,  5.548 ,  111 ,  1.236 ,  282 ,  4 ,  987 ,  2.912 ,  -   ,  16 ,  -   
 LUUK ,  5.773 ,  347 ,  1.638 ,  9 ,  4 ,  1.806 ,  1.932 ,  -   ,  37 ,  -   
 MAIMBUNG ,  6.480 ,  2.595 ,  1.861 ,  24 ,  4 ,  320 ,  1.652 ,  11 ,  13 ,  -   
 HADJI PANGLIMA TAHIL (MARUNGGAS) ,  1.091 ,  7 ,  614 ,  -   ,  1 ,  188 ,  280 ,  -   ,  1 ,  -   
 OLD PANAMAO ,  6.535 ,  110 ,  3.154 ,  6 ,  1 ,  1.503 ,  1.727 ,  24 ,  10 ,  -   
 PANGUTARAN ,  5.589 ,  368 ,  1.015 ,  -   ,  1 ,  2.631 ,  1.550 ,  16 ,  8 ,  -   
 PARANG ,  9.858 ,  717 ,  3.325 ,  30 ,  5 ,  2.384 ,  3.345 ,  7 ,  45 ,  -   
 PATA ,  3.583 ,  42 ,  766 ,  -   ,  1 ,  1.992 ,  779 ,  -   ,  3 ,  -   
 PATIKUL ,  10.948 ,  8.550 ,  1.365 ,  6 ,  67 ,  357 ,  541 ,  2 ,  60 ,  -   
 SIASI ,  12.287 ,  6.837 ,  3.401 ,  65 ,  5 ,  231 ,  1.716 ,  2 ,  30 ,  -   
 TALIPAO ,  12.411 ,  3.370 ,  3.015 ,  12 ,  9 ,  2.668 ,  3.309 ,  1 ,  27 ,  -   
 TAPUL ,  3.157 ,  59 ,  1.281 ,  1 ,  1 ,  455 ,  1.359 ,  1 ,  -   ,  -   
 TONGKIL ,  4.265 ,  74 ,  286 ,  -   ,  3 ,  1.478 ,  2.402 ,  1 ,  21 ,  -   
 PANGLIMA ESTINO (NEW PANAMAO) ,  4.184 ,  519 ,  1.477 ,  12 ,  2 ,  1.074 ,  1.083 ,  12 ,  5 ,  -   
 LUGUS ,  3.935 ,  66 ,  1.779 ,  1 ,  4 ,  1.100 ,  980 ,  -   ,  5 ,  -   
 PANDAMI ,  4.875 ,  171 ,  2.064 ,  199 ,  2 ,  722 ,  1.582 ,  119 ,  16 ,  -   
 OMAR ,  4.441 ,  94 ,  2.198 ,  4 ,  3 ,  346 ,  1.740 ,  44 ,  12 ,  -   
 TAWI-TAWI ,  67.529 ,  30.096 ,  13.371 ,  1.139 ,  297 ,  7.002 ,  15.297 ,  209 ,  118 ,  -   
 PANGLIMA SUGALA (BALIMBING) ,  6.992 ,  1.599 ,  1.580 ,  168 ,  1 ,  1.407 ,  2.226 ,  8 ,  3 ,  -   
 BONGAO (CAPITAL) ,  17.449 ,  11.245 ,  1.726 ,  280 ,  68 ,  1.242 ,  2.842 ,  20 ,  26 ,  -   
 MAPUN (CAGAYAN DE TAWI-TAWI) ,  4.426 ,  3.106 ,  461 ,  14 ,  7 ,  520 ,  243 ,  74 ,  1 ,  -   
 SIMUNUL ,  5.475 ,  5.140 ,  188 ,  2 ,  18 ,  2 ,  122 ,  1 ,  2 ,  -   
 SITANGKAI ,  6.045 ,  842 ,  751 ,  41 ,  178 ,  1.392 ,  2.763 ,  68 ,  10 ,  -   
 SOUTH UBIAN ,  4.904 ,  241 ,  3.556 ,  20 ,  -   ,  552 ,  531 ,  -   ,  4 ,  -   
 TANDUBAS ,  4.906 ,  2.131 ,  1.675 ,  28 ,  1 ,  371 ,  637 ,  2 ,  61 ,  -   
 TURTLE ISLANDS ,  782 ,  724 ,  41 ,  -   ,  -   ,  6 ,  11 ,  -   ,  -   ,  -   
 LANGUYAN ,  6.367 ,  436 ,  1.838 ,  509 ,  12 ,  958 ,  2.603 ,  9 ,  2 ,  -   
 SAPA-SAPA ,  5.190 ,  48 ,  1.330 ,  55 ,  7 ,  539 ,  3.182 ,  23 ,  6 ,  -   
 SIBUTU ,  4.993 ,  4.584 ,  225 ,  22 ,  5 ,  13 ,  137 ,  4 ,  3 ,  -   
