City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,Lake river rain and others,Peddler,Bottled water,Others,Not Reported
MOALBOAL,  7.284 ,  3.497 ,  1.322 ,  57 ,  214 ,  194 ,  17 ,  1.196 ,  299 ,  14 ,  365 ,  109 ,  -   ,  -   
CITY OF NAGA,  26.177 ,  6.640 ,  3.298 ,  1.834 ,  5.366 ,  1.029 ,  2.848 ,  3.921 ,  136 ,  252 ,  59 ,  793 ,  1 ,  -   
OSLOB,  5.998 ,  3.301 ,  1.902 ,  64 ,  209 ,  5 ,  25 ,  372 ,  91 ,  18 ,  2 ,  7 ,  2 ,  -   
PILAR,  2.989 ,  1.056 ,  1.926 ,  -   ,  1 ,  -   ,  1 ,  -   ,  -   ,  -   ,  4 ,  1 ,  -   ,  -   
PINAMUNGAHAN,  13.874 ,  6.175 ,  2.363 ,  48 ,  470 ,  95 ,  2.040 ,  2.176 ,  236 ,  10 ,  225 ,  36 ,  -   ,  -   
PORO,  6.104 ,  3.040 ,  1.945 ,  34 ,  232 ,  43 ,  34 ,  610 ,  40 ,  1 ,  86 ,  39 ,  -   ,  -   
RONDA,  4.823 ,  1.807 ,  1.516 ,  57 ,  222 ,  108 ,  100 ,  523 ,  365 ,  2 ,  88 ,  35 ,  -   ,  -   
SAMBOAN,  4.510 ,  3.840 ,  425 ,  1 ,  64 ,  1 ,  28 ,  90 ,  41 ,  5 ,  10 ,  5 ,  -   ,  -   
SAN FERNANDO,  14.258 ,  5.813 ,  3.556 ,  311 ,  2.704 ,  89 ,  532 ,  916 ,  8 ,  255 ,  74 ,  -   ,  -   ,  -   
SAN FRANCISCO,  12.278 ,  4.820 ,  5.149 ,  65 ,  463 ,  69 ,  245 ,  43 ,  182 ,  119 ,  1.007 ,  116 ,  -   ,  -   
SAN REMIGIO,  14.470 ,  4.500 ,  4.876 ,  239 ,  1.134 ,  231 ,  2.598 ,  561 ,  114 ,  2 ,  165 ,  49 ,  1 ,  -   
SANTA FE,  6.779 ,  820 ,  1.957 ,  314 ,  1.165 ,  45 ,  1.491 ,  5 ,  -   ,  558 ,  424 ,  -   ,  -   ,  -   
SANTANDER,  4.256 ,  2.855 ,  1.101 ,  7 ,  40 ,  7 ,  125 ,  24 ,  10 ,  68 ,  3 ,  15 ,  1 ,  -   
SIBONGA,  11.350 ,  4.599 ,  2.099 ,  433 ,  856 ,  34 ,  1.142 ,  1.954 ,  90 ,  32 ,  111 ,  -   ,  -   ,  -   
SOGOD,  8.452 ,  2.604 ,  2.424 ,  57 ,  559 ,  15 ,  1.608 ,  481 ,  87 ,  128 ,  439 ,  50 ,  -   ,  -   
TABOGON,  9.628 ,  4.977 ,  2.743 ,  16 ,  1.098 ,  10 ,  641 ,  45 ,  1 ,  94 ,  2 ,  1 ,  -   ,  -   
TABUELAN,  6.415 ,  3.263 ,  2.597 ,  3 ,  64 ,  126 ,  37 ,  64 ,  -   ,  45 ,  216 ,  -   ,  -   ,  -   
CITY OF TALISAY,  51.239 ,  19.085 ,  11.110 ,  3.964 ,  11.704 ,  680 ,  1.220 ,  853 ,  13 ,  11 ,  128 ,  2.466 ,  5 ,  -   
TOLEDO CITY,  38.259 ,  12.682 ,  5.185 ,  953 ,  4.926 ,  1.279 ,  6.789 ,  5.156 ,  348 ,  60 ,  593 ,  286 ,  2 ,  -   
TUBURAN,  15.028 ,  4.665 ,  2.572 ,  450 ,  2.821 ,  606 ,  2.037 ,  823 ,  221 ,  700 ,  132 ,  1 ,  -   ,  -   
TUDELA,  2.767 ,  1.325 ,  757 ,  28 ,  465 ,  7 ,  122 ,  41 ,  1 ,  -   ,  19 ,  2 ,  -   ,  -   
CEBU CITY (Capital),  213.738 ,  124.251 ,  42.789 ,  6.645 ,  15.119 ,  1.105 ,  2.969 ,  11.553 ,  1.496 ,  388 ,  2.898 ,  4.454 ,  71 ,  -   
LAPU-LAPU CITY (OPON),  99.573 ,  21.001 ,  16.515 ,  10.583 ,  28.751 ,  3.600 ,  5.414 ,  37 ,  23 ,  943 ,  2.624 ,  9.757 ,  325 ,  -   
MANDAUE CITY,  94.547 ,  41.243 ,  34.721 ,  2.808 ,  9.940 ,  221 ,  209 ,  12 ,  3 ,  -   ,  2.314 ,  2.942 ,  134 ,  -   
SIQUIJOR,  22.737 ,  10.935 ,  8.584 ,  139 ,  1.699 ,  97 ,  340 ,  475 ,  163 ,  34 ,  266 ,  5 ,  -   ,  -   
ENRIQUE VILLANUEVA,  1.476 ,  550 ,  797 ,  4 ,  24 ,  2 ,  2 ,  4 ,  1 ,  3 ,  86 ,  3 ,  -   ,  -   
LARENA,  3.115 ,  2.155 ,  705 ,  6 ,  45 ,  -   ,  19 ,  142 ,  19 ,  5 ,  18 ,  1 ,  -   ,  -   
LAZI,  5.011 ,  1.680 ,  2.503 ,  36 ,  287 ,  31 ,  192 ,  131 ,  116 ,  17 ,  17 ,  1 ,  -   ,  -   
MARIA,  3.164 ,  1.173 ,  1.035 ,  35 ,  698 ,  61 ,  101 ,  32 ,  9 ,  3 ,  17 ,  -   ,  -   ,  -   
SAN JUAN,  3.579 ,  1.422 ,  1.598 ,  37 ,  403 ,  1 ,  1 ,  97 ,  -   ,  3 ,  17 ,  -   ,  -   ,  -   
SIQUIJOR (Capital),  6.392 ,  3.955 ,  1.946 ,  21 ,  242 ,  2 ,  25 ,  69 ,  18 ,  3 ,  111 ,  -   ,  -   ,  -   
NEGROS ORIENTAL,  310.626 ,  115.052 ,  62.779 ,  12.773 ,  42.512 ,  5.669 ,  23.762 ,  29.109 ,  13.435 ,  218 ,  2.760 ,  2.387 ,  170 ,  -   
AMLAN (AYUQUITAN),  5.525 ,  3.733 ,  1.238 ,  42 ,  275 ,  27 ,  20 ,  104 ,  -   ,  -   ,  43 ,  43 ,  -   ,  -   
AYUNGON,  10.573 ,  4.105 ,  3.816 ,  95 ,  596 ,  68 ,  278 ,  993 ,  532 ,  -   ,  37 ,  53 ,  -   ,  -   
BACONG,  8.265 ,  5.989 ,  1.443 ,  106 ,  643 ,  10 ,  23 ,  3 ,  -   ,  -   ,  -   ,  44 ,  4 ,  -   
BAIS CITY,  17.693 ,  6.085 ,  4.000 ,  470 ,  2.632 ,  397 ,  1.190 ,  2.144 ,  326 ,  -   ,  178 ,  230 ,  41 ,  -   
BASAY,  5.971 ,  289 ,  1.340 ,  298 ,  1.263 ,  652 ,  664 ,  330 ,  499 ,  -   ,  594 ,  40 ,  2 ,  -   
CITY OF BAYAWAN (TULONG),  25.646 ,  5.210 ,  5.174 ,  1.299 ,  3.948 ,  570 ,  4.083 ,  2.421 ,  2.272 ,  -   ,  207 ,  414 ,  48 ,  -   
BINDOY (PAYABON),  8.702 ,  3.156 ,  2.978 ,  263 ,  226 ,  210 ,  89 ,  601 ,  1.009 ,  -   ,  44 ,  124 ,  2 ,  -   
CANLAON CITY,  12.692 ,  3.974 ,  2.589 ,  483 ,  1.421 ,  283 ,  719 ,  2.178 ,  885 ,  11 ,  85 ,  63 ,  1 ,  -   
DAUIN,  6.520 ,  3.598 ,  1.869 ,  85 ,  266 ,  219 ,  152 ,  -   ,  10 ,  -   ,  248 ,  72 ,  1 ,  -   
DUMAGUETE CITY (Capital),  29.750 ,  24.508 ,  3.106 ,  405 ,  1.270 ,  91 ,  47 ,  7 ,  3 ,  -   ,  54 ,  254 ,  5 ,  -   
CITY OF GUIHULNGAN,  22.494 ,  3.549 ,  6.348 ,  938 ,  4.038 ,  465 ,  1.711 ,  3.763 ,  1.393 ,  -   ,  144 ,  143 ,  2 ,  -   
JIMALALUD,  7.191 ,  321 ,  900 ,  465 ,  1.718 ,  97 ,  1.219 ,  1.866 ,  541 ,  -   ,  6 ,  58 ,  -   ,  -   
LA LIBERTAD,  9.164 ,  2.144 ,  2.017 ,  1.165 ,  1.611 ,  196 ,  660 ,  978 ,  274 ,  -   ,  98 ,  14 ,  7 ,  -   
MABINAY,  17.709 ,  2.248 ,  4.114 ,  911 ,  3.945 ,  605 ,  4.146 ,  742 ,  563 ,  -   ,  372 ,  60 ,  3 ,  -   
MANJUYOD,  9.943 ,  3.053 ,  1.805 ,  624 ,  974 ,  169 ,  259 ,  2.746 ,  24 ,  -   ,  265 ,  23 ,  1 ,  -   
PAMPLONA,  8.714 ,  3.838 ,  1.326 ,  149 ,  857 ,  6 ,  1.447 ,  921 ,  121 ,  -   ,  34 ,  15 ,  -   ,  -   
SAN JOSE,  4.607 ,  2.351 ,  1.502 ,  83 ,  555 ,  15 ,  79 ,  2 ,  -   ,  -   ,  1 ,  19 ,  -   ,  -   
SANTA CATALINA,  16.873 ,  2.740 ,  3.610 ,  1.007 ,  3.587 ,  471 ,  1.941 ,  1.405 ,  1.751 ,  200 ,  32 ,  105 ,  24 ,  -   
SIATON,  17.857 ,  3.377 ,  4.873 ,  1.662 ,  4.937 ,  465 ,  1.315 ,  846 ,  233 ,  -   ,  51 ,  95 ,  3 ,  -   
SIBULAN,  13.903 ,  8.692 ,  2.510 ,  729 ,  1.488 ,  17 ,  67 ,  129 ,  82 ,  5 ,  10 ,  158 ,  16 ,  -   
CITY OF TANJAY,  19.043 ,  8.647 ,  2.736 ,  724 ,  3.069 ,  317 ,  762 ,  1.972 ,  609 ,  -   ,  37 ,  170 ,  -   ,  -   
TAYASAN,  8.623 ,  2.188 ,  905 ,  54 ,  458 ,  56 ,  696 ,  2.590 ,  1.654 ,  -   ,  5 ,  16 ,  1 ,  -   
VALENCIA (LUZURRIAGA),  7.990 ,  7.242 ,  369 ,  10 ,  26 ,  14 ,  15 ,  109 ,  153 ,  -   ,  1 ,  50 ,  1 ,  -   
VALLEHERMOSO,  8.571 ,  1.241 ,  1.259 ,  143 ,  1.324 ,  241 ,  1.507 ,  2.155 ,  479 ,  2 ,  131 ,  84 ,  5 ,  -   
ZAMBOANGUITA,  6.607 ,  2.774 ,  952 ,  563 ,  1.385 ,  8 ,  673 ,  104 ,  22 ,  -   ,  83 ,  40 ,  3 ,  -   
,,,,,,,,,,,,,,
REGION VIII - EASTERN VISAYAS,  985.418 ,  250.058 ,  326.337 ,  44.735 ,  176.269 ,  31.599 ,  71.361 ,  43.519 ,  12.742 ,  8.962 ,  10.550 ,  8.924 ,  362 ,  -   
BILIRAN,  38.518 ,  22.205 ,  12.283 ,  390 ,  1.484 ,  309 ,  403 ,  801 ,  269 ,  68 ,  98 ,  151 ,  57 ,  -   
ALMERIA,  4.043 ,  3.464 ,  517 ,  -   ,  4 ,  1 ,  -   ,  28 ,  2 ,  3 ,  -   ,  24 ,  -   ,  -   
BILIRAN,  3.866 ,  2.260 ,  1.541 ,  5 ,  17 ,  2 ,  11 ,  9 ,  12 ,  3 ,  1 ,  5 ,  -   ,  -   
CABUCGAYAN,  4.751 ,  2.450 ,  1.500 ,  44 ,  406 ,  123 ,  119 ,  57 ,  5 ,  38 ,  -   ,  9 ,  -   ,  -   
CAIBIRAN,  4.808 ,  2.309 ,  2.137 ,  15 ,  118 ,  4 ,  25 ,  30 ,  101 ,  -   ,  -   ,  24 ,  45 ,  -   
CULABA,  2.727 ,  1.550 ,  829 ,  33 ,  16 ,  -   ,  140 ,  120 ,  29 ,  8 ,  -   ,  2 ,  -   ,  -   
KAWAYAN,  4.631 ,  2.758 ,  1.478 ,  112 ,  145 ,  17 ,  7 ,  -   ,  29 ,  7 ,  69 ,  9 ,  -   ,  -   
MARIPIPI,  1.668 ,  214 ,  336 ,  147 ,  586 ,  153 ,  34 ,  192 ,  4 ,  -   ,  1 ,  1 ,  -   ,  -   
NAVAL (Capital),  12.024 ,  7.200 ,  3.945 ,  34 ,  192 ,  9 ,  67 ,  365 ,  87 ,  9 ,  27 ,  77 ,  12 ,  -   
EASTERN SAMAR,  106.292 ,  16.184 ,  31.016 ,  6.274 ,  30.600 ,  7.814 ,  3.576 ,  6.231 ,  1.562 ,  1.798 ,  35 ,  1.202 ,  -   ,  -   
ARTECHE,  3.505 ,  172 ,  908 ,  92 ,  1.079 ,  524 ,  409 ,  130 ,  103 ,  1 ,  1 ,  86 ,  -   ,  -   
BALANGIGA,  3.277 ,  825 ,  1.551 ,  35 ,  651 ,  8 ,  44 ,  124 ,  11 ,  18 ,  -   ,  10 ,  -   ,  -   
BALANGKAYAN,  2.375 ,  789 ,  684 ,  26 ,  597 ,  1 ,  -   ,  20 ,  1 ,  253 ,  -   ,  4 ,  -   ,  -   
CITY OF BORONGAN (Capital),  15.120 ,  2.604 ,  2.412 ,  1.726 ,  3.758 ,  2.699 ,  70 ,  1.217 ,  184 ,  19 ,  1 ,  430 ,  -   ,  -   
CAN-AVID,  4.505 ,  166 ,  804 ,  277 ,  1.833 ,  184 ,  185 ,  885 ,  128 ,  19 ,  1 ,  23 ,  -   ,  -   
DOLORES,  9.451 ,  573 ,  2.482 ,  619 ,  4.424 ,  198 ,  169 ,  504 ,  177 ,  200 ,  3 ,  102 ,  -   ,  -   
GENERAL MACARTHUR,  3.034 ,  981 ,  1.606 ,  12 ,  75 ,  2 ,  6 ,  22 ,  78 ,  225 ,  -   ,  27 ,  -   ,  -   
GIPORLOS,  3.224 ,  155 ,  957 ,  255 ,  1.621 ,  8 ,  69 ,  98 ,  5 ,  37 ,  -   ,  19 ,  -   ,  -   
GUIUAN,  12.448 ,  2.817 ,  3.177 ,  236 ,  2.393 ,  861 ,  1.369 ,  645 ,  7 ,  727 ,  4 ,  212 ,  -   ,  -   
HERNANI,  2.060 ,  160 ,  625 ,  17 ,  516 ,  14 ,  -   ,  694 ,  26 ,  4 ,  1 ,  3 ,  -   ,  -   
JIPAPAD,  1.728 ,  6 ,  1.447 ,  5 ,  59 ,  102 ,  7 ,  3 ,  35 ,  63 ,  -   ,  1 ,  -   ,  -   
LAWAAN,  3.021 ,  702 ,  696 ,  138 ,  1.143 ,  54 ,  178 ,  17 ,  14 ,  8 ,  1 ,  70 ,  -   ,  -   
LLORENTE,  4.768 ,  639 ,  700 ,  905 ,  2.259 ,  4 ,  1 ,  103 ,  124 ,  21 ,  -   ,  12 ,  -   ,  -   
MASLOG,  1.077 ,  13 ,  920 ,  -   ,  1 ,  11 ,  -   ,  127 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   
MAYDOLONG,  3.247 ,  904 ,  1.611 ,  30 ,  370 ,  2 ,  17 ,  179 ,  75 ,  23 ,  2 ,  34 ,  -   ,  -   
MERCEDES,  1.530 ,  10 ,  1.130 ,  105 ,  231 ,  2 ,  42 ,  -   ,  -   ,  3 ,  1 ,  6 ,  -   ,  -   
ORAS,  8.618 ,  611 ,  1.189 ,  732 ,  3.737 ,  1.612 ,  78 ,  534 ,  51 ,  10 ,  -   ,  64 ,  -   ,  -   
QUINAPONDAN,  3.388 ,  826 ,  1.968 ,  47 ,  137 ,  4 ,  208 ,  119 ,  59 ,  16 ,  -   ,  4 ,  -   ,  -   
SALCEDO,  5.211 ,  898 ,  1.907 ,  203 ,  1.236 ,  41 ,  254 ,  354 ,  155 ,  121 ,  16 ,  26 ,  -   ,  -   
SAN JULIAN,  3.369 ,  735 ,  1.060 ,  87 ,  926 ,  14 ,  282 ,  191 ,  50 ,  1 ,  -   ,  23 ,  -   ,  -   
SAN POLICARPO,  3.271 ,  44 ,  940 ,  174 ,  460 ,  1.454 ,  11 ,  4 ,  175 ,  -   ,  1 ,  8 ,  -   ,  -   
SULAT,  3.677 ,  624 ,  1.035 ,  276 ,  1.373 ,  12 ,  150 ,  82 ,  91 ,  19 ,  -   ,  15 ,  -   ,  -   
TAFT,  4.388 ,  930 ,  1.207 ,  277 ,  1.721 ,  3 ,  27 ,  179 ,  8 ,  10 ,  3 ,  23 ,  -   ,  -   
LEYTE (excluding Tacloban City),  405.438 ,  100.842 ,  126.877 ,  18.623 ,  80.912 ,  8.552 ,  40.368 ,  16.362 ,  4.086 ,  2.993 ,  3.135 ,  2.521 ,  167 ,  -   
ABUYOG,  13.508 ,  806 ,  3.322 ,  947 ,  3.260 ,  153 ,  2.408 ,  1.779 ,  499 ,  9 ,  50 ,  275 ,  -   ,  -   
ALANGALANG,  12.768 ,  582 ,  861 ,  734 ,  7.011 ,  353 ,  2.633 ,  267 ,  174 ,  10 ,  2 ,  139 ,  2 ,  -   
ALBUERA,  11.067 ,  2.046 ,  2.998 ,  1.679 ,  3.273 ,  122 ,  199 ,  157 ,  72 ,  380 ,  29 ,  112 ,  -   ,  -   
BABATNGON,  6.108 ,  380 ,  2.703 ,  203 ,  1.643 ,  186 ,  658 ,  278 ,  3 ,  15 ,  13 ,  24 ,  2 ,  -   
BARUGO,  6.919 ,  1.750 ,  1.868 ,  206 ,  1.735 ,  218 ,  612 ,  329 ,  30 ,  2 ,  151 ,  18 ,  -   ,  -   
BATO,  8.691 ,  984 ,  2.188 ,  619 ,  2.181 ,  288 ,  518 ,  803 ,  216 ,  766 ,  84 ,  36 ,  8 ,  -   
CITY OF BAYBAY,  26.180 ,  11.483 ,  10.367 ,  373 ,  1.427 ,  316 ,  621 ,  1.196 ,  58 ,  106 ,  179 ,  51 ,  3 ,  -   
BURAUEN,  12.577 ,  5.127 ,  4.676 ,  415 ,  1.305 ,  52 ,  428 ,  372 ,  161 ,  25 ,  6 ,  7 ,  3 ,  -   
CALUBIAN,  7.858 ,  259 ,  1.434 ,  439 ,  2.248 ,  262 ,  2.442 ,  220 ,  39 ,  32 ,  239 ,  244 ,  -   ,  -   
CAPOOCAN,  7.332 ,  729 ,  4.807 ,  143 ,  148 ,  4 ,  91 ,  826 ,  226 ,  170 ,  143 ,  42 ,  3 ,  -   
CARIGARA,  11.303 ,  3.354 ,  3.497 ,  491 ,  882 ,  8 ,  1.787 ,  941 ,  216 ,  86 ,  3 ,  38 ,  -   ,  -   
DAGAMI,  8.433 ,  1.041 ,  3.481 ,  384 ,  1.437 ,  117 ,  1.425 ,  206 ,  282 ,  55 ,  4 ,  -   ,  1 ,  -   
DULAG,  11.838 ,  309 ,  225 ,  2.524 ,  7.711 ,  88 ,  721 ,  7 ,  1 ,  25 ,  161 ,  65 ,  1 ,  -   
HILONGOS,  14.394 ,  2.370 ,  2.705 ,  1.067 ,  6.733 ,  192 ,  415 ,  232 ,  77 ,  388 ,  3 ,  203 ,  9 ,  -   
HINDANG,  4.994 ,  755 ,  1.129 ,  618 ,  1.582 ,  158 ,  144 ,  436 ,  20 ,  136 ,  7 ,  9 ,  -   ,  -   
INOPACAN,  4.912 ,  2.598 ,  1.189 ,  194 ,  412 ,  5 ,  26 ,  284 ,  66 ,  128 ,  -   ,  10 ,  -   ,  -   
ISABEL,  11.201 ,  6.643 ,  2.150 ,  329 ,  1.290 ,  25 ,  184 ,  362 ,  9 ,  104 ,  3 ,  79 ,  23 ,  -   
JARO,  9.747 ,  1.735 ,  2.538 ,  597 ,  1.699 ,  83 ,  864 ,  1.746 ,  411 ,  43 ,  5 ,  22 ,  4 ,  -   
JAVIER (BUGHO),  6.024 ,  515 ,  2.024 ,  486 ,  1.981 ,  250 ,  525 ,  176 ,  13 ,  31 ,  3 ,  18 ,  2 ,  -   
JULITA,  3.840 ,  312 ,  378 ,  545 ,  2.295 ,  17 ,  264 ,  12 ,  2 ,  10 ,  2 ,  3 ,  -   ,  -   
KANANGA,  12.921 ,  3.754 ,  5.363 ,  269 ,  1.482 ,  63 ,  1.006 ,  661 ,  116 ,  103 ,  60 ,  44 ,  -   ,  -   
LA PAZ,  4.980 ,  804 ,  1.773 ,  114 ,  515 ,  1.329 ,  248 ,  117 ,  53 ,  16 ,  3 ,  8 ,  -   ,  -   
LEYTE,  9.101 ,  680 ,  4.483 ,  320 ,  2.048 ,  12 ,  1.297 ,  30 ,  89 ,  21 ,  89 ,  32 ,  -   ,  -   
MACARTHUR,  5.109 ,  1.017 ,  1.360 ,  404 ,  1.840 ,  81 ,  138 ,  183 ,  36 ,  17 ,  20 ,  13 ,  -   ,  -   
MAHAPLAG,  6.238 ,  1.560 ,  4.164 ,  58 ,  149 ,  7 ,  159 ,  47 ,  6 ,  51 ,  32 ,  5 ,  -   ,  -   
MATAG-OB,  4.570 ,  1.640 ,  1.985 ,  16 ,  172 ,  13 ,  194 ,  359 ,  143 ,  11 ,  36 ,  1 ,  -   ,  -   
MATALOM,  7.537 ,  1.875 ,  2.316 ,  142 ,  1.301 ,  90 ,  1.065 ,  573 ,  155 ,  2 ,  13 ,  1 ,  4 ,  -   
MAYORGA,  4.236 ,  61 ,  406 ,  506 ,  2.426 ,  105 ,  708 ,  -   ,  2 ,  -   ,  2 ,  20 ,  -   ,  -   
MERIDA,  7.923 ,  3.851 ,  2.167 ,  71 ,  804 ,  174 ,  536 ,  128 ,  74 ,  16 ,  92 ,  9 ,  1 ,  -   
ORMOC CITY,  49.906 ,  23.558 ,  16.566 ,  571 ,  3.728 ,  784 ,  1.340 ,  1.461 ,  349 ,  96 ,  1.154 ,  275 ,  24 ,  -   
PALO,  15.730 ,  5.728 ,  9.009 ,  129 ,  123 ,  4 ,  549 ,  28 ,  -   ,  -   ,  34 ,  74 ,  52 ,  -   
PALOMPON,  14.514 ,  4.218 ,  3.175 ,  464 ,  2.823 ,  687 ,  841 ,  1.868 ,  135 ,  8 ,  161 ,  127 ,  7 ,  -   
PASTRANA,  4.331 ,  576 ,  2.394 ,  47 ,  370 ,  20 ,  920 ,  -   ,  -   ,  2 ,  -   ,  2 ,  -   ,  -   
SAN ISIDRO,  7.882 ,  299 ,  354 ,  92 ,  504 ,  340 ,  6.075 ,  -   ,  2 ,  18 ,  31 ,  167 ,  -   ,  -   
SAN MIGUEL,  4.309 ,  1.045 ,  851 ,  70 ,  1.051 ,  57 ,  806 ,  111 ,  181 ,  86 ,  21 ,  30 ,  -   ,  -   
SANTA FE,  4.741 ,  145 ,  2.154 ,  129 ,  912 ,  23 ,  1.293 ,  22 ,  43 ,  1 ,  3 ,  16 ,  -   ,  -   
TABANGO,  8.227 ,  520 ,  2.124 ,  350 ,  2.233 ,  571 ,  2.020 ,  17 ,  6 ,  20 ,  255 ,  111 ,  -   ,  -   
TABONTABON,  2.780 ,  286 ,  1.027 ,  273 ,  860 ,  141 ,  192 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
TANAUAN,  13.518 ,  2.226 ,  5.576 ,  702 ,  2.930 ,  91 ,  1.936 ,  -   ,  2 ,  -   ,  8 ,  40 ,  7 ,  -   
TOLOSA,  5.073 ,  357 ,  223 ,  563 ,  2.230 ,  761 ,  800 ,  6 ,  2 ,  -   ,  1 ,  119 ,  11 ,  -   
TUNGA,  1.597 ,  654 ,  268 ,  205 ,  369 ,  19 ,  55 ,  20 ,  1 ,  -   ,  -   ,  6 ,  -   ,  -   
VILLABA,  10.521 ,  2.210 ,  4.599 ,  135 ,  1.789 ,  283 ,  1.225 ,  101 ,  116 ,  4 ,  33 ,  26 ,  -   ,  -   
TACLOBAN CITY (Capital),  50.451 ,  17.440 ,  21.727 ,  699 ,  2.570 ,  358 ,  2.398 ,  258 ,  279 ,  42 ,  3.081 ,  1.573 ,  26 ,  -   
NORTHERN SAMAR,  126.619 ,  8.184 ,  34.741 ,  13.849 ,  27.208 ,  12.648 ,  12.756 ,  8.743 ,  2.989 ,  1.219 ,  1.960 ,  2.211 ,  111 ,  -   
ALLEN,  5.543 ,  441 ,  1.786 ,  585 ,  1.115 ,  97 ,  506 ,  183 ,  8 ,  5 ,  156 ,  649 ,  12 ,  -   
BIRI,  2.269 ,  414 ,  697 ,  410 ,  166 ,  119 ,  445 ,  10 ,  4 ,  -   ,  -   ,  4 ,  -   ,  -   
BOBON,  4.873 ,  803 ,  1.134 ,  1.324 ,  1.102 ,  5 ,  381 ,  12 ,  15 ,  18 ,  25 ,  53 ,  1 ,  -   
CAPUL,  2.504 ,  114 ,  677 ,  473 ,  947 ,  5 ,  120 ,  160 ,  1 ,  3 ,  -   ,  4 ,  -   ,  -   
CATARMAN (Capital),  19.091 ,  1.904 ,  2.966 ,  3.422 ,  4.482 ,  2.610 ,  2.113 ,  339 ,  234 ,  71 ,  312 ,  631 ,  7 ,  -   
CATUBIG,  6.514 ,  154 ,  3.608 ,  19 ,  147 ,  7 ,  146 ,  1.797 ,  113 ,  20 ,  312 ,  116 ,  75 ,  -   
GAMAY,  5.263 ,  216 ,  560 ,  448 ,  2.443 ,  145 ,  40 ,  741 ,  126 ,  90 ,  444 ,  10 ,  -   ,  -   
LAOANG,  12.283 ,  227 ,  1.873 ,  879 ,  3.406 ,  312 ,  4.704 ,  392 ,  45 ,  54 ,  10 ,  380 ,  1 ,  -   
LAPINIG,  2.483 ,  17 ,  469 ,  230 ,  1.645 ,  5 ,  23 ,  93 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
LAS NAVAS,  7.133 ,  414 ,  3.414 ,  57 ,  448 ,  7 ,  696 ,  630 ,  841 ,  433 ,  145 ,  48 ,  -   ,  -   
LAVEZARES,  6.133 ,  213 ,  2.409 ,  466 ,  1.711 ,  137 ,  87 ,  765 ,  53 ,  33 ,  162 ,  97 ,  -   ,  -   
MAPANAS,  2.785 ,  20 ,  320 ,  715 ,  1.116 ,  -   ,  -   ,  596 ,  14 ,  2 ,  -   ,  2 ,  -   ,  -   
MONDRAGON,  7.593 ,  519 ,  472 ,  2.088 ,  1.929 ,  992 ,  928 ,  553 ,  36 ,  53 ,  7 ,  14 ,  2 ,  -   
PALAPAG,  6.957 ,  297 ,  1.276 ,  245 ,  207 ,  3.637 ,  428 ,  577 ,  182 ,  66 ,  5 ,  34 ,  3 ,  -   
PAMBUJAN,  6.115 ,  84 ,  608 ,  118 ,  871 ,  3.411 ,  229 ,  108 ,  618 ,  27 ,  2 ,  30 ,  9 ,  -   
ROSARIO,  2.080 ,  168 ,  1.023 ,  163 ,  296 ,  9 ,  392 ,  2 ,  1 ,  1 ,  18 ,  7 ,  -   ,  -   
SAN ANTONIO,  1.880 ,  56 ,  487 ,  196 ,  421 ,  266 ,  177 ,  41 ,  2 ,  30 ,  190 ,  14 ,  -   ,  -   
SAN ISIDRO,  5.666 ,  391 ,  3.841 ,  353 ,  775 ,  115 ,  34 ,  42 ,  53 ,  3 ,  10 ,  49 ,  -   ,  -   
SAN JOSE,  3.907 ,  949 ,  941 ,  322 ,  830 ,  92 ,  690 ,  9 ,  2 ,  40 ,  1 ,  30 ,  1 ,  -   
SAN ROQUE,  5.106 ,  265 ,  962 ,  1.059 ,  1.704 ,  630 ,  422 ,  32 ,  1 ,  14 ,  1 ,  16 ,  -   ,  -   
SAN VICENTE,  1.644 ,  79 ,  676 ,  98 ,  604 ,  -   ,  72 ,  33 ,  -   ,  -   ,  80 ,  2 ,  -   ,  -   
SILVINO LOBOS,  2.735 ,  6 ,  1.274 ,  1 ,  65 ,  10 ,  7 ,  951 ,  353 ,  67 ,  1 ,  -   ,  -   ,  -   
VICTORIA,  3.215 ,  360 ,  1.947 ,  151 ,  436 ,  18 ,  108 ,  11 ,  2 ,  89 ,  79 ,  14 ,  -   ,  -   
LOPE DE VEGA,  2.847 ,  73 ,  1.321 ,  27 ,  342 ,  19 ,  8 ,  666 ,  285 ,  99 ,  -   ,  7 ,  -   ,  -   
SAMAR (WESTERN SAMAR),  165.264 ,  29.574 ,  77.298 ,  2.916 ,  25.887 ,  1.435 ,  11.187 ,  8.231 ,  3.009 ,  2.719 ,  2.225 ,  782 ,  1 ,  -   
ALMAGRO,  2.101 ,  119 ,  625 ,  55 ,  872 ,  64 ,  291 ,  8 ,  -   ,  29 ,  38 ,  -   ,  -   ,  -   
BASEY,  12.648 ,  1.334 ,  4.526 ,  303 ,  3.478 ,  17 ,  1.909 ,  516 ,  25 ,  400 ,  25 ,  115 ,  -   ,  -   
