Tenure Status of the Housing Unit and Lot and City/Municipality, Number of Households* , Single house , Duplex , Multi-unit residential , Commercial/ industrial/ agricultural , Institutional living quarter , Others , Not Reported 
Own house rent-free lot without consent of owner,  179 ,  152 ,  27 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  516 ,  499 ,  12 ,  3 ,  2 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  9 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 DUMALINAO,,,,,,,,
Total,  7.097 ,  6.925 ,  115 ,  48 ,  4 ,  -   ,  -   ,  5 
Own or owner like possession of house and lot,  3.745 ,  3.668 ,  65 ,  10 ,  -   ,  -   ,  -   ,  2 
Rent house/room including lot,  159 ,  138 ,  13 ,  8 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  320 ,  312 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.414 ,  2.390 ,  16 ,  3 ,  2 ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  15 ,  12 ,  -   ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  416 ,  377 ,  13 ,  24 ,  2 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  28 ,  28 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 DUMINGAG,,,,,,,,
Total,  9.888 ,  9.546 ,  253 ,  81 ,  1 ,  1 ,  -   ,  6 
Own or owner like possession of house and lot,  4.941 ,  4.837 ,  88 ,  12 ,  1 ,  -   ,  -   ,  3 
Rent house/room including lot,  194 ,  142 ,  21 ,  30 ,  -   ,  1 ,  -   ,  -   
Own house rent lot,  346 ,  329 ,  13 ,  4 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.798 ,  3.685 ,  96 ,  17 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  62 ,  60 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  534 ,  480 ,  33 ,  18 ,  -   ,  -   ,  -   ,  3 
Rent-free house and lot without consent of owner,  13 ,  13 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 KUMALARANG,,,,,,,,
Total,  6.005 ,  5.494 ,  368 ,  94 ,  5 ,  -   ,  -   ,  44 
Own or owner like possession of house and lot,  1.997 ,  1.755 ,  174 ,  43 ,  4 ,  -   ,  -   ,  21 
Rent house/room including lot,  52 ,  45 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  432 ,  419 ,  12 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.170 ,  2.980 ,  152 ,  28 ,  1 ,  -   ,  -   ,  9 
Own house rent-free lot without consent of owner,  86 ,  74 ,  -   ,  -   ,  -   ,  -   ,  -   ,  12 
Rent-free house and lot with consent of owner,  245 ,  199 ,  23 ,  22 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  23 ,  22 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LABANGAN,,,,,,,,
Total,  8.767 ,  8.540 ,  150 ,  65 ,  9 ,  -   ,  -   ,  3 
Own or owner like possession of house and lot,  4.340 ,  4.251 ,  69 ,  18 ,  1 ,  -   ,  -   ,  1 
Rent house/room including lot,  187 ,  162 ,  7 ,  12 ,  6 ,  -   ,  -   ,  -   
Own house rent lot,  353 ,  343 ,  7 ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.259 ,  3.207 ,  44 ,  6 ,  -   ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  34 ,  33 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  584 ,  535 ,  21 ,  26 ,  2 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  10 ,  9 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LAPUYAN,,,,,,,,
Total,  5.793 ,  5.672 ,  58 ,  6 ,  1 ,  -   ,  -   ,  56 
Own or owner like possession of house and lot,  2.224 ,  2.184 ,  12 ,  -   ,  -   ,  -   ,  -   ,  28 
Rent house/room including lot,  33 ,  32 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  202 ,  201 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.537 ,  2.492 ,  32 ,  4 ,  1 ,  -   ,  -   ,  8 
Own house rent-free lot without consent of owner,  393 ,  381 ,  4 ,  -   ,  -   ,  -   ,  -   ,  8 
Rent-free house and lot with consent of owner,  389 ,  370 ,  8 ,  2 ,  -   ,  -   ,  -   ,  9 
Rent-free house and lot without consent of owner,  15 ,  12 ,  -   ,  -   ,  -   ,  -   ,  -   ,  3 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MAHAYAG,,,,,,,,
Total,  9.769 ,  9.457 ,  251 ,  56 ,  4 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  4.098 ,  3.999 ,  88 ,  11 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  208 ,  174 ,  9 ,  25 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1.618 ,  1.564 ,  42 ,  10 ,  2 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.135 ,  3.048 ,  79 ,  6 ,  2 ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  43 ,  42 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  654 ,  617 ,  32 ,  4 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  13 ,  13 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MARGOSATUBIG,,,,,,,,
Total,  8.823 ,  8.261 ,  389 ,  153 ,  4 ,  1 ,  -   ,  15 
Own or owner like possession of house and lot,  3.758 ,  3.529 ,  163 ,  62 ,  2 ,  1 ,  -   ,  1 
Rent house/room including lot,  250 ,  216 ,  18 ,  16 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  439 ,  411 ,  24 ,  -   ,  -   ,  -   ,  -   ,  4 
Own house rent-free lot with consent of owner,  3.528 ,  3.352 ,  129 ,  42 ,  2 ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  334 ,  319 ,  10 ,  1 ,  -   ,  -   ,  -   ,  4 
Rent-free house and lot with consent of owner,  506 ,  428 ,  45 ,  30 ,  -   ,  -   ,  -   ,  3 
Rent-free house and lot without consent of owner,  8 ,  6 ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MIDSALIP,,,,,,,,
Total,  6.782 ,  6.642 ,  98 ,  30 ,  2 ,  -   ,  -   ,  10 
Own or owner like possession of house and lot,  4.043 ,  3.982 ,  48 ,  9 ,  -   ,  -   ,  -   ,  4 
Rent house/room including lot,  94 ,  87 ,  2 ,  5 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  526 ,  510 ,  15 ,  -   ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  1.401 ,  1.372 ,  23 ,  1 ,  2 ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  157 ,  153 ,  2 ,  -   ,  -   ,  -   ,  -   ,  2 
Rent-free house and lot with consent of owner,  543 ,  520 ,  8 ,  15 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  18 ,  18 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MOLAVE,,,,,,,,
Total,  11.515 ,  10.478 ,  612 ,  405 ,  4 ,  1 ,  1 ,  14 
Own or owner like possession of house and lot,  5.582 ,  5.246 ,  223 ,  104 ,  1 ,  -   ,  -   ,  8 
Rent house/room including lot,  785 ,  520 ,  84 ,  177 ,  1 ,  1 ,  -   ,  2 
Own house rent lot,  898 ,  798 ,  73 ,  27 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.269 ,  3.082 ,  146 ,  38 ,  -   ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  58 ,  54 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  905 ,  764 ,  81 ,  57 ,  2 ,  -   ,  1 ,  -   
Rent-free house and lot without consent of owner,  18 ,  14 ,  1 ,  2 ,  -   ,  -   ,  -   ,  1 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 PAGADIAN CITY (Capital),,,,,,,,
Total,  40.872 ,  36.256 ,  2.653 ,  1.850 ,  34 ,  11 ,  46 ,  22 
Own or owner like possession of house and lot,  20.858 ,  19.274 ,  1.076 ,  486 ,  15 ,  2 ,  2 ,  3 
Rent house/room including lot,  4.226 ,  3.042 ,  482 ,  684 ,  6 ,  4 ,  -   ,  8 
Own house rent lot,  1.193 ,  1.065 ,  73 ,  50 ,  1 ,  -   ,  -   ,  4 
Own house rent-free lot with consent of owner,  10.145 ,  9.292 ,  554 ,  291 ,  2 ,  1 ,  -   ,  5 
Own house rent-free lot without consent of owner,  737 ,  620 ,  78 ,  38 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  3.504 ,  2.791 ,  376 ,  283 ,  9 ,  4 ,  39 ,  2 
Rent-free house and lot without consent of owner,  209 ,  172 ,  14 ,  18 ,  -   ,  -   ,  5 ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 RAMON MAGSAYSAY (LIARGO),,,,,,,,
Total,  6.158 ,  5.959 ,  154 ,  30 ,  7 ,  -   ,  -   ,  8 
Own or owner like possession of house and lot,  2.498 ,  2.447 ,  46 ,  2 ,  3 ,  -   ,  -   ,  -   
Rent house/room including lot,  63 ,  56 ,  3 ,  3 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  161 ,  156 ,  2 ,  1 ,  -   ,  -   ,  -   ,  2 
Own house rent-free lot with consent of owner,  2.693 ,  2.610 ,  64 ,  15 ,  1 ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  102 ,  102 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  625 ,  575 ,  39 ,  9 ,  2 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  16 ,  13 ,  -   ,  -   ,  -   ,  -   ,  -   ,  3 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN MIGUEL,,,,,,,,
Total,  4.234 ,  4.127 ,  83 ,  18 ,  4 ,  -   ,  -   ,  2 
Own or owner like possession of house and lot,  1.932 ,  1.876 ,  48 ,  3 ,  4 ,  -   ,  -   ,  1 
Rent house/room including lot,  48 ,  47 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  363 ,  363 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.610 ,  1.582 ,  23 ,  5 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  35 ,  35 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  241 ,  219 ,  11 ,  10 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  5 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN PABLO,,,,,,,,
Total,  5.812 ,  5.709 ,  84 ,  6 ,  6 ,  3 ,  -   ,  4 
Own or owner like possession of house and lot,  2.694 ,  2.649 ,  38 ,  3 ,  3 ,  1 ,  -   ,  -   
Rent house/room including lot,  83 ,  77 ,  5 ,  -   ,  -   ,  1 ,  -   ,  -   
Own house rent lot,  675 ,  668 ,  5 ,  -   ,  2 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.957 ,  1.927 ,  23 ,  3 ,  1 ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  54 ,  54 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  325 ,  310 ,  13 ,  -   ,  -   ,  1 ,  -   ,  1 
Rent-free house and lot without consent of owner,  24 ,  24 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 TABINA,,,,,,,,
Total,  5.627 ,  5.491 ,  110 ,  19 ,  3 ,  -   ,  -   ,  4 
Own or owner like possession of house and lot,  2.905 ,  2.878 ,  25 ,  1 ,  1 ,  -   ,  -   ,  -   
Rent house/room including lot,  149 ,  140 ,  7 ,  2 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  144 ,  142 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.048 ,  1.962 ,  68 ,  15 ,  -   ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  99 ,  97 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  277 ,  267 ,  6 ,  1 ,  2 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  5 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 TAMBULIG,,,,,,,,
Total,  7.717 ,  7.524 ,  151 ,  31 ,  3 ,  1 ,  -   ,  7 
Own or owner like possession of house and lot,  2.978 ,  2.903 ,  62 ,  7 ,  1 ,  1 ,  -   ,  4 
Rent house/room including lot,  88 ,  79 ,  7 ,  2 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  465 ,  446 ,  18 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.585 ,  3.513 ,  53 ,  16 ,  1 ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  94 ,  93 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  491 ,  475 ,  9 ,  5 ,  1 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  16 ,  15 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 TUKURAN,,,,,,,,
Total,  8.498 ,  8.228 ,  194 ,  64 ,  3 ,  -   ,  -   ,  9 
Own or owner like possession of house and lot,  3.379 ,  3.312 ,  56 ,  10 ,  1 ,  -   ,  -   ,  -   
Rent house/room including lot,  312 ,  266 ,  19 ,  26 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  798 ,  758 ,  36 ,  4 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.144 ,  3.078 ,  44 ,  17 ,  -   ,  -   ,  -   ,  5 
Own house rent-free lot without consent of owner,  375 ,  358 ,  16 ,  -   ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot with consent of owner,  473 ,  439 ,  23 ,  7 ,  1 ,  -   ,  -   ,  3 
Rent-free house and lot without consent of owner,  17 ,  17 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LAKEWOOD,,,,,,,,
Total,  4.099 ,  3.802 ,  240 ,  43 ,  13 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  1.975 ,  1.857 ,  100 ,  13 ,  4 ,  -   ,  -   ,  1 
Rent house/room including lot,  50 ,  39 ,  2 ,  5 ,  4 ,  -   ,  -   ,  -   
Own house rent lot,  63 ,  57 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.695 ,  1.587 ,  95 ,  11 ,  2 ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  305 ,  252 ,  36 ,  14 ,  3 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  7 ,  6 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 JOSEFINA,,,,,,,,
Total,  2.556 ,  2.499 ,  46 ,  10 ,  1 ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  1.760 ,  1.716 ,  37 ,  6 ,  1 ,  -   ,  -   ,  -   
Rent house/room including lot,  29 ,  28 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  125 ,  121 ,  -   ,  4 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  597 ,  589 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  5 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  39 ,  39 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 PITOGO,,,,,,,,
Total,  5.881 ,  5.693 ,  133 ,  38 ,  16 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  2.807 ,  2.754 ,  42 ,  5 ,  6 ,  -   ,  -   ,  -   
Rent house/room including lot,  136 ,  79 ,  21 ,  26 ,  9 ,  -   ,  -   ,  1 
Own house rent lot,  284 ,  279 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.335 ,  2.293 ,  41 ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  31 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  281 ,  250 ,  24 ,  7 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  7 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SOMINOT (DON MARIANO MARCOS),,,,,,,,
Total,  4.149 ,  4.088 ,  46 ,  10 ,  -   ,  -   ,  -   ,  5 
Own or owner like possession of house and lot,  1.934 ,  1.916 ,  14 ,  3 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  78 ,  78 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  295 ,  292 ,  -   ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.584 ,  1.558 ,  21 ,  1 ,  -   ,  -   ,  -   ,  4 
Own house rent-free lot without consent of owner,  38 ,  36 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  217 ,  205 ,  9 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 VINCENZO A. SAGUN,,,,,,,,
Total,  5.061 ,  5.028 ,  26 ,  3 ,  2 ,  -   ,  -   ,  2 
Own or owner like possession of house and lot,  2.579 ,  2.563 ,  14 ,  1 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  39 ,  39 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  13 ,  13 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.232 ,  2.218 ,  9 ,  2 ,  2 ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  10 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  186 ,  183 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 GUIPOS,,,,,,,,
Total,  4.307 ,  4.198 ,  97 ,  8 ,  3 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  2.338 ,  2.278 ,  52 ,  5 ,  2 ,  -   ,  -   ,  1 
Rent house/room including lot,  97 ,  90 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  445 ,  434 ,  11 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.143 ,  1.125 ,  18 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  37 ,  35 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  237 ,  227 ,  7 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  10 ,  9 ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 TIGBAO,,,,,,,,
Total,  4.601 ,  4.472 ,  89 ,  23 ,  14 ,  -   ,  -   ,  3 
Own or owner like possession of house and lot,  1.773 ,  1.724 ,  37 ,  9 ,  2 ,  -   ,  -   ,  1 
Rent house/room including lot,  65 ,  59 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  775 ,  745 ,  24 ,  3 ,  3 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.663 ,  1.637 ,  16 ,  -   ,  8 ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  48 ,  47 ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  258 ,  242 ,  5 ,  11 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  19 ,  18 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ZAMBOANGA CITY,,,,,,,,
Total,  190.568 ,  155.680 ,  17.527 ,  15.454 ,  359 ,  71 ,  25 ,  1.452 
Own or owner like possession of house and lot,  92.318 ,  79.422 ,  7.909 ,  4.382 ,  105 ,  15 ,  8 ,  477 
Rent house/room including lot,  19.774 ,  10.559 ,  2.840 ,  6.095 ,  95 ,  24 ,  1 ,  160 
Own house rent lot,  10.868 ,  9.062 ,  976 ,  714 ,  16 ,  7 ,  -   ,  93 
Own house rent-free lot with consent of owner,  49.057 ,  42.315 ,  3.870 ,  2.275 ,  40 ,  4 ,  10 ,  543 
Own house rent-free lot without consent of owner,  5.940 ,  5.219 ,  396 ,  264 ,  8 ,  1 ,  1 ,  51 
Rent-free house and lot with consent of owner,  12.042 ,  8.663 ,  1.488 ,  1.671 ,  72 ,  19 ,  3 ,  126 
Rent-free house and lot without consent of owner,  563 ,  435 ,  48 ,  53 ,  23 ,  1 ,  1 ,  2 
Not Applicable,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   
Not Reported,  5 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ZAMBOANGA SIBUGAY,,,,,,,,
Total,  140.791 ,  131.773 ,  6.504 ,  1.907 ,  197 ,  17 ,  4 ,  389 
