,city,region_name,bldg_type,province,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
7612,KANANGA,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),14.0,16.0,81.0,5.06,1.14,5.79,2015
7613,KANANGA,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),1.0,1.0,10.0,10.0,1.0,10.0,2015
7614,KANANGA,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),1.0,1.0,1.0,1.0,1.0,1.0,2015
7615,KANANGA,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),4.0,5.0,17.0,3.4,1.25,4.25,2015
7616,LA PAZ,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),4876.0,4899.0,19674.0,4.02,1.0,4.03,2015
7617,LA PAZ,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),68.0,68.0,269.0,3.96,1.0,3.96,2015
7618,LA PAZ,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),9.0,9.0,34.0,3.78,1.0,3.78,2015
7619,LA PAZ,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),3.0,3.0,18.0,6.0,1.0,6.0,2015
7620,LA PAZ,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7621,LA PAZ,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7622,LA PAZ,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,3.0,3.0,1.0,3.0,2015
7623,LEYTE,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),8309.0,8394.0,37719.0,4.49,1.01,4.54,2015
7624,LEYTE,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),566.0,570.0,2332.0,4.09,1.01,4.12,2015
7625,LEYTE,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),109.0,109.0,434.0,3.98,1.0,3.98,2015
7626,LEYTE,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),20.0,20.0,85.0,4.25,1.0,4.25,2015
7627,LEYTE,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7628,LEYTE,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),3.0,3.0,18.0,6.0,1.0,6.0,2015
7629,LEYTE,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),4.0,5.0,15.0,3.0,1.25,3.75,2015
7630,MACARTHUR,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),4886.0,4917.0,20461.0,4.16,1.01,4.19,2015
7631,MACARTHUR,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),152.0,153.0,606.0,3.96,1.01,3.99,2015
7632,MACARTHUR,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),34.0,34.0,116.0,3.41,1.0,3.41,2015
7633,MACARTHUR,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),3.0,3.0,14.0,4.67,1.0,4.67,2015
7634,MACARTHUR,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7635,MACARTHUR,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),1.0,1.0,6.0,6.0,1.0,6.0,2015
7636,MACARTHUR,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,3.0,3.0,1.0,3.0,2015
7637,MAHAPLAG,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),6032.0,6086.0,27220.0,4.47,1.01,4.51,2015
7638,MAHAPLAG,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),114.0,114.0,452.0,3.96,1.0,3.96,2015
7639,MAHAPLAG,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),22.0,22.0,84.0,3.82,1.0,3.82,2015
7640,MAHAPLAG,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),15.0,15.0,63.0,4.2,1.0,4.2,2015
7641,MAHAPLAG,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),1.0,1.0,4.0,4.0,1.0,4.0,2015
7642,MAHAPLAG,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7643,MAHAPLAG,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),,,,,,,2015
7644,MATAG-OB,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),4274.0,4318.0,17413.0,4.03,1.01,4.07,2015
7645,MATAG-OB,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),194.0,194.0,744.0,3.84,1.0,3.84,2015
7646,MATAG-OB,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),50.0,50.0,179.0,3.58,1.0,3.58,2015
7647,MATAG-OB,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),5.0,5.0,26.0,5.2,1.0,5.2,2015
7648,MATAG-OB,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),2.0,2.0,9.0,4.5,1.0,4.5,2015
7649,MATAG-OB,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7650,MATAG-OB,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,2.0,2.0,1.0,2.0,2015
7651,MATALOM,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),7359.0,7400.0,32577.0,4.4,1.01,4.43,2015
7652,MATALOM,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),118.0,118.0,467.0,3.96,1.0,3.96,2015
7653,MATALOM,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),16.0,16.0,60.0,3.75,1.0,3.75,2015
7654,MATALOM,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),2.0,2.0,13.0,6.5,1.0,6.5,2015
7655,MATALOM,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7656,MATALOM,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7657,MATALOM,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,4.0,4.0,1.0,4.0,2015
7658,MAYORGA,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),4117.0,4129.0,16751.0,4.06,1.0,4.07,2015
7659,MAYORGA,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),82.0,82.0,315.0,3.84,1.0,3.84,2015
7660,MAYORGA,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),15.0,15.0,44.0,2.93,1.0,2.93,2015
7661,MAYORGA,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),8.0,8.0,30.0,3.75,1.0,3.75,2015
7662,MAYORGA,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7663,MAYORGA,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),1.0,1.0,4.0,4.0,1.0,4.0,2015
7664,MAYORGA,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,7.0,7.0,1.0,7.0,2015
7665,MERIDA,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),7559.0,7675.0,28948.0,3.77,1.02,3.83,2015
7666,MERIDA,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),200.0,203.0,716.0,3.53,1.02,3.58,2015
7667,MERIDA,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),37.0,39.0,116.0,2.97,1.05,3.14,2015
7668,MERIDA,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),3.0,3.0,15.0,5.0,1.0,5.0,2015
7669,MERIDA,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),2.0,2.0,8.0,4.0,1.0,4.0,2015
7670,MERIDA,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7671,MERIDA,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,3.0,3.0,1.0,3.0,2015
7672,ORMOC CITY,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),44363.0,44865.0,192685.0,4.29,1.01,4.34,2015
7673,ORMOC CITY,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),3188.0,3249.0,13123.0,4.04,1.02,4.12,2015
7674,ORMOC CITY,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),1706.0,1714.0,6706.0,3.91,1.0,3.93,2015
7675,ORMOC CITY,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),44.0,46.0,161.0,3.5,1.05,3.66,2015
7676,ORMOC CITY,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),6.0,6.0,12.0,2.0,1.0,2.0,2015
7677,ORMOC CITY,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),4.0,4.0,10.0,2.5,1.0,2.5,2015
7678,ORMOC CITY,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),21.0,22.0,81.0,3.68,1.05,3.86,2015
7679,PALO,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),14595.0,14736.0,65065.0,4.42,1.01,4.46,2015
7680,PALO,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),470.0,471.0,1948.0,4.14,1.0,4.14,2015
7681,PALO,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),447.0,448.0,1931.0,4.31,1.0,4.32,2015
7682,PALO,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),65.0,67.0,290.0,4.33,1.03,4.46,2015
7683,PALO,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7684,PALO,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),6.0,6.0,18.0,3.0,1.0,3.0,2015
7685,PALO,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,2.0,8.0,4.0,2.0,8.0,2015
7686,PALOMPON,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),13386.0,13461.0,54157.0,4.02,1.01,4.05,2015
7687,PALOMPON,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),739.0,745.0,2814.0,3.78,1.01,3.81,2015
7688,PALOMPON,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),291.0,293.0,1014.0,3.46,1.01,3.48,2015
7689,PALOMPON,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),7.0,7.0,26.0,3.71,1.0,3.71,2015
7690,PALOMPON,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),1.0,1.0,4.0,4.0,1.0,4.0,2015
7691,PALOMPON,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7692,PALOMPON,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),7.0,7.0,21.0,3.0,1.0,3.0,2015
7693,PASTRANA,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),4301.0,4307.0,17905.0,4.16,1.0,4.16,2015
7694,PASTRANA,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),18.0,18.0,67.0,3.72,1.0,3.72,2015
7695,PASTRANA,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),4.0,4.0,16.0,4.0,1.0,4.0,2015
7696,PASTRANA,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),,,,,,,2015
7697,PASTRANA,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),1.0,1.0,4.0,4.0,1.0,4.0,2015
7698,PASTRANA,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7699,PASTRANA,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,5.0,5.0,1.0,5.0,2015
7700,SAN ISIDRO,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),7607.0,7625.0,30548.0,4.01,1.0,4.02,2015
7701,SAN ISIDRO,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),194.0,196.0,754.0,3.85,1.01,3.89,2015
7702,SAN ISIDRO,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),54.0,55.0,255.0,4.64,1.02,4.72,2015
7703,SAN ISIDRO,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),6.0,6.0,20.0,3.33,1.0,3.33,2015
7704,SAN ISIDRO,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7705,SAN ISIDRO,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7706,SAN ISIDRO,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),,,,,,,2015
7707,SAN MIGUEL,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),4162.0,4189.0,18865.0,4.5,1.01,4.53,2015
7708,SAN MIGUEL,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),90.0,91.0,426.0,4.68,1.01,4.73,2015
7709,SAN MIGUEL,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),26.0,26.0,118.0,4.54,1.0,4.54,2015
7710,SAN MIGUEL,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),1.0,1.0,3.0,3.0,1.0,3.0,2015
7711,SAN MIGUEL,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7712,SAN MIGUEL,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7713,SAN MIGUEL,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),2.0,2.0,8.0,4.0,1.0,4.0,2015
7714,SANTA FE,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),4563.0,4584.0,19786.0,4.32,1.0,4.34,2015
7715,SANTA FE,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),136.0,136.0,560.0,4.12,1.0,4.12,2015
7716,SANTA FE,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),18.0,18.0,77.0,4.28,1.0,4.28,2015
7717,SANTA FE,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),2.0,2.0,9.0,4.5,1.0,4.5,2015
7718,SANTA FE,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7719,SANTA FE,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),1.0,1.0,2.0,2.0,1.0,2.0,2015
7720,SANTA FE,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),,,,,,,2015
7721,TABANGO,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),7940.0,7983.0,33230.0,4.16,1.01,4.19,2015
7722,TABANGO,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),224.0,225.0,876.0,3.89,1.0,3.91,2015
7723,TABANGO,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),14.0,14.0,54.0,3.86,1.0,3.86,2015
7724,TABANGO,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),1.0,1.0,4.0,4.0,1.0,4.0,2015
7725,TABANGO,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7726,TABANGO,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7727,TABANGO,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),4.0,4.0,24.0,6.0,1.0,6.0,2015
7728,TABONTABON,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),2751.0,2757.0,11074.0,4.02,1.0,4.03,2015
7729,TABONTABON,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),22.0,22.0,84.0,3.82,1.0,3.82,2015
7730,TABONTABON,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),,,,,,,2015
7731,TABONTABON,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),,,,,,,2015
7732,TABONTABON,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7733,TABONTABON,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),1.0,1.0,1.0,1.0,1.0,1.0,2015
7734,TABONTABON,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),,,,,,,2015
7735,TANAUAN,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),12714.0,12859.0,52252.0,4.06,1.01,4.11,2015
7736,TANAUAN,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),408.0,411.0,1705.0,4.15,1.01,4.18,2015
7737,TANAUAN,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),218.0,218.0,905.0,4.15,1.0,4.15,2015
7738,TANAUAN,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),18.0,18.0,53.0,2.94,1.0,2.94,2015
7739,TANAUAN,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7740,TANAUAN,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),12.0,12.0,38.0,3.17,1.0,3.17,2015
7741,TANAUAN,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),,,,,,,2015
7742,TOLOSA,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),4834.0,4872.0,20192.0,4.14,1.01,4.18,2015
7743,TOLOSA,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),178.0,181.0,699.0,3.86,1.02,3.93,2015
7744,TOLOSA,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),17.0,17.0,74.0,4.35,1.0,4.35,2015
7745,TOLOSA,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),,,,,,,2015
7746,TOLOSA,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),1.0,1.0,5.0,5.0,1.0,5.0,2015
7747,TOLOSA,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),1.0,1.0,5.0,5.0,1.0,5.0,2015
7748,TOLOSA,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,3.0,3.0,1.0,3.0,2015
7749,TUNGA,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),1544.0,1551.0,7379.0,4.76,1.0,4.78,2015
7750,TUNGA,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),46.0,46.0,205.0,4.46,1.0,4.46,2015
7751,TUNGA,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),,,,,,,2015
7752,TUNGA,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),,,,,,,2015
7753,TUNGA,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7754,TUNGA,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7755,TUNGA,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),,,,,,,2015
7756,VILLABA,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),9874.0,9931.0,39766.0,4.0,1.01,4.03,2015
7757,VILLABA,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),462.0,463.0,1703.0,3.68,1.0,3.69,2015
7758,VILLABA,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),120.0,120.0,391.0,3.26,1.0,3.26,2015
7759,VILLABA,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),7.0,7.0,22.0,3.14,1.0,3.14,2015
7760,VILLABA,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7761,VILLABA,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7762,VILLABA,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),,,,,,,2015
7763,TACLOBAN CITY (Capital),REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),41069.0,41817.0,201265.0,4.81,1.02,4.9,2015
7764,TACLOBAN CITY (Capital),REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),3919.0,4004.0,17515.0,4.37,1.02,4.47,2015
7765,TACLOBAN CITY (Capital),REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),4221.0,4288.0,19943.0,4.65,1.02,4.72,2015
7766,TACLOBAN CITY (Capital),REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),255.0,262.0,1101.0,4.2,1.03,4.32,2015
7767,TACLOBAN CITY (Capital),REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),29.0,29.0,118.0,4.07,1.0,4.07,2015
7768,TACLOBAN CITY (Capital),REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),9.0,9.0,32.0,3.56,1.0,3.56,2015
7769,TACLOBAN CITY (Capital),REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),39.0,42.0,150.0,3.57,1.08,3.85,2015
7770,ALLEN,REGION VIII (Eastern Visayas),Single house, NORTHERN SAMAR,5158.0,5185.0,23835.0,4.6,1.01,4.62,2015
7771,ALLEN,REGION VIII (Eastern Visayas),Duplex, NORTHERN SAMAR,264.0,267.0,1190.0,4.46,1.01,4.51,2015
7772,ALLEN,REGION VIII (Eastern Visayas),Multi-unit residential, NORTHERN SAMAR,84.0,84.0,367.0,4.37,1.0,4.37,2015
7773,ALLEN,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, NORTHERN SAMAR,1.0,1.0,3.0,3.0,1.0,3.0,2015
7774,ALLEN,REGION VIII (Eastern Visayas),Institutional living quarter, NORTHERN SAMAR,3.0,3.0,16.0,5.33,1.0,5.33,2015
7775,ALLEN,REGION VIII (Eastern Visayas),Others, NORTHERN SAMAR,,,,,,,2015
7776,ALLEN,REGION VIII (Eastern Visayas),Not Reported, NORTHERN SAMAR,3.0,3.0,10.0,3.33,1.0,3.33,2015
7777,BIRI,REGION VIII (Eastern Visayas),Single house, NORTHERN SAMAR,2199.0,2206.0,11443.0,5.19,1.0,5.2,2015
7778,BIRI,REGION VIII (Eastern Visayas),Duplex, NORTHERN SAMAR,44.0,44.0,229.0,5.2,1.0,5.2,2015
7779,BIRI,REGION VIII (Eastern Visayas),Multi-unit residential, NORTHERN SAMAR,3.0,3.0,12.0,4.0,1.0,4.0,2015
7780,BIRI,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, NORTHERN SAMAR,11.0,11.0,65.0,5.91,1.0,5.91,2015
7781,BIRI,REGION VIII (Eastern Visayas),Institutional living quarter, NORTHERN SAMAR,,,,,,,2015
7782,BIRI,REGION VIII (Eastern Visayas),Others, NORTHERN SAMAR,,,,,,,2015
7783,BIRI,REGION VIII (Eastern Visayas),Not Reported, NORTHERN SAMAR,5.0,5.0,18.0,3.6,1.0,3.6,2015
7784,BOBON,REGION VIII (Eastern Visayas),Single house, NORTHERN SAMAR,4629.0,4678.0,22521.0,4.81,1.01,4.87,2015
7785,BOBON,REGION VIII (Eastern Visayas),Duplex, NORTHERN SAMAR,148.0,149.0,740.0,4.97,1.01,5.0,2015
7786,BOBON,REGION VIII (Eastern Visayas),Multi-unit residential, NORTHERN SAMAR,33.0,34.0,150.0,4.41,1.03,4.55,2015
7787,BOBON,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, NORTHERN SAMAR,2.0,2.0,5.0,2.5,1.0,2.5,2015
7788,BOBON,REGION VIII (Eastern Visayas),Institutional living quarter, NORTHERN SAMAR,,,,,,,2015
7789,BOBON,REGION VIII (Eastern Visayas),Others, NORTHERN SAMAR,,,,,,,2015
7790,BOBON,REGION VIII (Eastern Visayas),Not Reported, NORTHERN SAMAR,5.0,10.0,34.0,3.4,2.0,6.8,2015
