Type of Building and City/Municipality, Occupied Housing Units , Number of Households* , Household Population* , Average Household Size , Ratio of Households to Occupied Housing Units , Ratio of Household Population to Occupied Housing Units ,,,,,,,,,,,,
Total,  9.720 ,  9.869 ,  52.132 ,"  5,28 ","  1,02 ","  5,36 ",,,,,,,,,,,,
Single house,  9.294 ,  9.441 ,  50.111 ,"  5,31 ","  1,02 ","  5,39 ",,,,,,,,,,,,
Duplex,  312 ,  313 ,  1.468 ,"  4,69 ","  1,00 ","  4,71 ",,,,,,,,,,,,
Multi-unit residential,  95 ,  96 ,  447 ,"  4,66 ","  1,01 ","  4,71 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  7 ,  7 ,  40 ,"  5,71 ","  1,00 ","  5,71 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  16 ,"  8,00 ","  1,00 ","  8,00 ",,,,,,,,,,,,
Others,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Not Reported,  9 ,  9 ,  49 ,"  5,44 ","  1,00 ","  5,44 ",,,,,,,,,,,,
 BOMBON,,,,,,,,,,,,,,,,,,
Total,  3.441 ,  3.461 ,  16.512 ,"  4,77 ","  1,01 ","  4,80 ",,,,,,,,,,,,
Single house,  3.159 ,  3.177 ,  15.295 ,"  4,81 ","  1,01 ","  4,84 ",,,,,,,,,,,,
Duplex,  234 ,  235 ,  1.036 ,"  4,41 ","  1,00 ","  4,43 ",,,,,,,,,,,,
Multi-unit residential,  43 ,  43 ,  158 ,"  3,67 ","  1,00 ","  3,67 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  6 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  4 ,  5 ,  17 ,"  3,40 ","  1,25 ","  4,25 ",,,,,,,,,,,,
 BUHI,,,,,,,,,,,,,,,,,,
Total,  16.266 ,  16.541 ,  77.124 ,"  4,66 ","  1,02 ","  4,74 ",,,,,,,,,,,,
Single house,  15.404 ,  15.663 ,  73.227 ,"  4,68 ","  1,02 ","  4,75 ",,,,,,,,,,,,
Duplex,  600 ,  611 ,  2.713 ,"  4,44 ","  1,02 ","  4,52 ",,,,,,,,,,,,
Multi-unit residential,  226 ,  229 ,  1.035 ,"  4,52 ","  1,01 ","  4,58 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  22 ,  22 ,  72 ,"  3,27 ","  1,00 ","  3,27 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  15 ,"  7,50 ","  1,00 ","  7,50 ",,,,,,,,,,,,
Others,  3 ,  3 ,  8 ,"  2,67 ","  1,00 ","  2,67 ",,,,,,,,,,,,
Not Reported,  9 ,  11 ,  54 ,"  4,91 ","  1,22 ","  6,00 ",,,,,,,,,,,,
 BULA,,,,,,,,,,,,,,,,,,
Total,  13.482 ,  13.589 ,  69.407 ,"  5,11 ","  1,01 ","  5,15 ",,,,,,,,,,,,
Single house,  13.131 ,  13.232 ,  67.756 ,"  5,12 ","  1,01 ","  5,16 ",,,,,,,,,,,,
Duplex,  226 ,  229 ,  1.047 ,"  4,57 ","  1,01 ","  4,63 ",,,,,,,,,,,,
Multi-unit residential,  60 ,  60 ,  290 ,"  4,83 ","  1,00 ","  4,83 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  44 ,  44 ,  185 ,"  4,20 ","  1,00 ","  4,20 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Others,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Not Reported,  19 ,  22 ,  119 ,"  5,41 ","  1,16 ","  6,26 ",,,,,,,,,,,,
 CABUSAO,,,,,,,,,,,,,,,,,,
Total,  3.897 ,  3.902 ,  18.374 ,"  4,71 ","  1,00 ","  4,71 ",,,,,,,,,,,,
Single house,  3.567 ,  3.572 ,  16.821 ,"  4,71 ","  1,00 ","  4,72 ",,,,,,,,,,,,
Duplex,  284 ,  284 ,  1.333 ,"  4,69 ","  1,00 ","  4,69 ",,,,,,,,,,,,
Multi-unit residential,  43 ,  43 ,  206 ,"  4,79 ","  1,00 ","  4,79 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  11 ,"  5,50 ","  1,00 ","  5,50 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
 CALABANGA,,,,,,,,,,,,,,,,,,
Total,  17.035 ,  17.211 ,  82.901 ,"  4,82 ","  1,01 ","  4,87 ",,,,,,,,,,,,
Single house,  16.167 ,  16.329 ,  79.201 ,"  4,85 ","  1,01 ","  4,90 ",,,,,,,,,,,,
Duplex,  590 ,  598 ,  2.537 ,"  4,24 ","  1,01 ","  4,30 ",,,,,,,,,,,,
Multi-unit residential,  221 ,  223 ,  904 ,"  4,05 ","  1,01 ","  4,09 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  18 ,  18 ,  84 ,"  4,67 ","  1,00 ","  4,67 ",,,,,,,,,,,,
Institutional living quarter,  3 ,  3 ,  9 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  36 ,  40 ,  166 ,"  4,15 ","  1,11 ","  4,61 ",,,,,,,,,,,,
 CAMALIGAN,,,,,,,,,,,,,,,,,,
Total,  4.737 ,  4.848 ,  24.072 ,"  4,97 ","  1,02 ","  5,08 ",,,,,,,,,,,,
Single house,  3.697 ,  3.792 ,  19.276 ,"  5,08 ","  1,03 ","  5,21 ",,,,,,,,,,,,
Duplex,  614 ,  623 ,  2.850 ,"  4,57 ","  1,01 ","  4,64 ",,,,,,,,,,,,
Multi-unit residential,  417 ,  423 ,  1.901 ,"  4,49 ","  1,01 ","  4,56 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  6 ,  6 ,  23 ,"  3,83 ","  1,00 ","  3,83 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  3 ,  4 ,  22 ,"  5,50 ","  1,33 ","  7,33 ",,,,,,,,,,,,
 CANAMAN,,,,,,,,,,,,,,,,,,
Total,  6.968 ,  7.103 ,  33.991 ,"  4,79 ","  1,02 ","  4,88 ",,,,,,,,,,,,
Single house,  6.483 ,  6.608 ,  31.866 ,"  4,82 ","  1,02 ","  4,92 ",,,,,,,,,,,,
Duplex,  332 ,  337 ,  1.474 ,"  4,37 ","  1,02 ","  4,44 ",,,,,,,,,,,,
Multi-unit residential,  138 ,  142 ,  578 ,"  4,07 ","  1,03 ","  4,19 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  22 ,"  5,50 ","  1,00 ","  5,50 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  10 ,  11 ,  50 ,"  4,55 ","  1,10 ","  5,00 ",,,,,,,,,,,,
 CARAMOAN,,,,,,,,,,,,,,,,,,
Total,  9.878 ,  9.946 ,  47.534 ,"  4,78 ","  1,01 ","  4,81 ",,,,,,,,,,,,
Single house,  9.687 ,  9.730 ,  46.768 ,"  4,81 ","  1,00 ","  4,83 ",,,,,,,,,,,,
Duplex,  124 ,  132 ,  511 ,"  3,87 ","  1,06 ","  4,12 ",,,,,,,,,,,,
Multi-unit residential,  24 ,  24 ,  58 ,"  2,42 ","  1,00 ","  2,42 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  22 ,  22 ,  84 ,"  3,82 ","  1,00 ","  3,82 ",,,,,,,,,,,,
Institutional living quarter,  14 ,  31 ,  82 ,"  2,65 ","  2,21 ","  5,86 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  7 ,  7 ,  31 ,"  4,43 ","  1,00 ","  4,43 ",,,,,,,,,,,,
 DEL GALLEGO,,,,,,,,,,,,,,,,,,
Total,  5.243 ,  5.249 ,  25.350 ,"  4,83 ","  1,00 ","  4,84 ",,,,,,,,,,,,
Single house,  5.076 ,  5.082 ,  24.621 ,"  4,84 ","  1,00 ","  4,85 ",,,,,,,,,,,,
Duplex,  130 ,  130 ,  571 ,"  4,39 ","  1,00 ","  4,39 ",,,,,,,,,,,,
Multi-unit residential,  30 ,  30 ,  126 ,"  4,20 ","  1,00 ","  4,20 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  7 ,"  2,33 ","  1,00 ","  2,33 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  4 ,  4 ,  25 ,"  6,25 ","  1,00 ","  6,25 ",,,,,,,,,,,,
 GAINZA,,,,,,,,,,,,,,,,,,
Total,  2.206 ,  2.251 ,  11.252 ,"  5,00 ","  1,02 ","  5,10 ",,,,,,,,,,,,
Single house,  2.034 ,  2.078 ,  10.430 ,"  5,02 ","  1,02 ","  5,13 ",,,,,,,,,,,,
Duplex,  156 ,  156 ,  743 ,"  4,76 ","  1,00 ","  4,76 ",,,,,,,,,,,,
Multi-unit residential,  16 ,  17 ,  79 ,"  4,65 ","  1,06 ","  4,94 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 GARCHITORENA,,,,,,,,,,,,,,,,,,
Total,  5.094 ,  5.216 ,  27.009 ,"  5,18 ","  1,02 ","  5,30 ",,,,,,,,,,,,
Single house,  4.993 ,  5.113 ,  26.530 ,"  5,19 ","  1,02 ","  5,31 ",,,,,,,,,,,,
Duplex,  72 ,  74 ,  359 ,"  4,85 ","  1,03 ","  4,99 ",,,,,,,,,,,,
Multi-unit residential,  21 ,  21 ,  91 ,"  4,33 ","  1,00 ","  4,33 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  14 ,"  4,67 ","  1,00 ","  4,67 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  5 ,  5 ,  15 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
 GOA,,,,,,,,,,,,,,,,,,
Total,  12.791 ,  12.842 ,  63.198 ,"  4,92 ","  1,00 ","  4,94 ",,,,,,,,,,,,
Single house,  12.209 ,  12.258 ,  60.606 ,"  4,94 ","  1,00 ","  4,96 ",,,,,,,,,,,,
Duplex,  370 ,  370 ,  1.664 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
Multi-unit residential,  174 ,  174 ,  775 ,"  4,45 ","  1,00 ","  4,45 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  22 ,  22 ,  79 ,"  3,59 ","  1,00 ","  3,59 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  2 ,  2 ,  4 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Not Reported,  14 ,  16 ,  70 ,"  4,38 ","  1,14 ","  5,00 ",,,,,,,,,,,,
 IRIGA CITY,,,,,,,,,,,,,,,,,,
Total,  21.717 ,  21.840 ,  111.225 ,"  5,09 ","  1,01 ","  5,12 ",,,,,,,,,,,,
Single house,  20.379 ,  20.494 ,  104.781 ,"  5,11 ","  1,01 ","  5,14 ",,,,,,,,,,,,
Duplex,  778 ,  784 ,  3.776 ,"  4,82 ","  1,01 ","  4,85 ",,,,,,,,,,,,
Multi-unit residential,  536 ,  538 ,  2.540 ,"  4,72 ","  1,00 ","  4,74 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  16 ,  16 ,  88 ,"  5,50 ","  1,00 ","  5,50 ",,,,,,,,,,,,
Institutional living quarter,  3 ,  3 ,  12 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Others,  1 ,  1 ,  6 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Not Reported,  4 ,  4 ,  22 ,"  5,50 ","  1,00 ","  5,50 ",,,,,,,,,,,,
 LAGONOY,,,,,,,,,,,,,,,,,,
Total,  11.176 ,  11.312 ,  55.452 ,"  4,90 ","  1,01 ","  4,96 ",,,,,,,,,,,,
Single house,  10.658 ,  10.793 ,  53.043 ,"  4,91 ","  1,01 ","  4,98 ",,,,,,,,,,,,
Duplex,  416 ,  416 ,  1.925 ,"  4,63 ","  1,00 ","  4,63 ",,,,,,,,,,,,
Multi-unit residential,  72 ,  72 ,  368 ,"  5,11 ","  1,00 ","  5,11 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  10 ,  10 ,  30 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  19 ,  20 ,  84 ,"  4,20 ","  1,05 ","  4,42 ",,,,,,,,,,,,
 LIBMANAN,,,,,,,,,,,,,,,,,,
Total,  23.343 ,  23.629 ,  108.592 ,"  4,60 ","  1,01 ","  4,65 ",,,,,,,,,,,,
Single house,  22.090 ,  22.358 ,  103.103 ,"  4,61 ","  1,01 ","  4,67 ",,,,,,,,,,,,
Duplex,  936 ,  947 ,  4.167 ,"  4,40 ","  1,01 ","  4,45 ",,,,,,,,,,,,
Multi-unit residential,  281 ,  285 ,  1.174 ,"  4,12 ","  1,01 ","  4,18 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  17 ,  17 ,  72 ,"  4,24 ","  1,00 ","  4,24 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  7 ,"  3,50 ","  1,00 ","  3,50 ",,,,,,,,,,,,
Others,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Not Reported,  16 ,  19 ,  68 ,"  3,58 ","  1,19 ","  4,25 ",,,,,,,,,,,,
 LUPI,,,,,,,,,,,,,,,,,,
Total,  6.996 ,  7.013 ,  32.109 ,"  4,58 ","  1,00 ","  4,59 ",,,,,,,,,,,,
Single house,  6.820 ,  6.837 ,  31.372 ,"  4,59 ","  1,00 ","  4,60 ",,,,,,,,,,,,
Duplex,  144 ,  144 ,  602 ,"  4,18 ","  1,00 ","  4,18 ",,,,,,,,,,,,
Multi-unit residential,  25 ,  25 ,  103 ,"  4,12 ","  1,00 ","  4,12 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  6 ,  6 ,  29 ,"  4,83 ","  1,00 ","  4,83 ",,,,,,,,,,,,
 MAGARAO,,,,,,,,,,,,,,,,,,
Total,  5.317 ,  5.333 ,  25.675 ,"  4,81 ","  1,00 ","  4,83 ",,,,,,,,,,,,
Single house,  4.850 ,  4.860 ,  23.577 ,"  4,85 ","  1,00 ","  4,86 ",,,,,,,,,,,,
Duplex,  270 ,  272 ,  1.237 ,"  4,55 ","  1,01 ","  4,58 ",,,,,,,,,,,,
Multi-unit residential,  175 ,  175 ,  754 ,"  4,31 ","  1,00 ","  4,31 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  6 ,  6 ,  27 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  16 ,  20 ,  80 ,"  4,00 ","  1,25 ","  5,00 ",,,,,,,,,,,,
 MILAOR,,,,,,,,,,,,,,,,,,
Total,  6.154 ,  6.324 ,  31.088 ,"  4,92 ","  1,03 ","  5,05 ",,,,,,,,,,,,
Single house,  5.637 ,  5.798 ,  28.806 ,"  4,97 ","  1,03 ","  5,11 ",,,,,,,,,,,,
Duplex,  360 ,  368 ,  1.656 ,"  4,50 ","  1,02 ","  4,60 ",,,,,,,,,,,,
Multi-unit residential,  137 ,  138 ,  551 ,"  3,99 ","  1,01 ","  4,02 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  6 ,  6 ,  23 ,"  3,83 ","  1,00 ","  3,83 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Not Reported,  13 ,  13 ,  49 ,"  3,77 ","  1,00 ","  3,77 ",,,,,,,,,,,,
 MINALABAC,,,,,,,,,,,,,,,,,,
Total,  10.263 ,  10.313 ,  52.390 ,"  5,08 ","  1,00 ","  5,10 ",,,,,,,,,,,,
Single house,  9.975 ,  10.025 ,  51.038 ,"  5,09 ","  1,01 ","  5,12 ",,,,,,,,,,,,
Duplex,  192 ,  192 ,  960 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Multi-unit residential,  71 ,  71 ,  293 ,"  4,13 ","  1,00 ","  4,13 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  10 ,  10 ,  41 ,"  4,10 ","  1,00 ","  4,10 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  15 ,  15 ,  58 ,"  3,87 ","  1,00 ","  3,87 ",,,,,,,,,,,,
 NABUA,,,,,,,,,,,,,,,,,,
Total,  16.509 ,  16.625 ,  83.719 ,"  5,04 ","  1,01 ","  5,07 ",,,,,,,,,,,,
Single house,  16.006 ,  16.119 ,  81.306 ,"  5,04 ","  1,01 ","  5,08 ",,,,,,,,,,,,
Duplex,  384 ,  385 ,  1.844 ,"  4,79 ","  1,00 ","  4,80 ",,,,,,,,,,,,
Multi-unit residential,  103 ,  104 ,  490 ,"  4,71 ","  1,01 ","  4,76 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  19 ,"  4,75 ","  1,00 ","  4,75 ",,,,,,,,,,,,
Institutional living quarter,  3 ,  3 ,  6 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  9 ,  10 ,  54 ,"  5,40 ","  1,11 ","  6,00 ",,,,,,,,,,,,
 NAGA CITY,,,,,,,,,,,,,,,,,,
Total,  41.280 ,  42.152 ,  194.348 ,"  4,61 ","  1,02 ","  4,71 ",,,,,,,,,,,,
Single house,  29.506 ,  30.136 ,  145.722 ,"  4,84 ","  1,02 ","  4,94 ",,,,,,,,,,,,
Duplex,  4.542 ,  4.693 ,  20.178 ,"  4,30 ","  1,03 ","  4,44 ",,,,,,,,,,,,
Multi-unit residential,  7.087 ,  7.164 ,  27.834 ,"  3,89 ","  1,01 ","  3,93 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  103 ,  108 ,  391 ,"  3,62 ","  1,05 ","  3,80 ",,,,,,,,,,,,
Institutional living quarter,  13 ,  13 ,  48 ,"  3,69 ","  1,00 ","  3,69 ",,,,,,,,,,,,
Others,  2 ,  2 ,  9 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
Not Reported,  27 ,  36 ,  166 ,"  4,61 ","  1,33 ","  6,15 ",,,,,,,,,,,,
 OCAMPO,,,,,,,,,,,,,,,,,,
Total,  9.267 ,  9.322 ,  45.934 ,"  4,93 ","  1,01 ","  4,96 ",,,,,,,,,,,,
Single house,  8.975 ,  9.029 ,  44.635 ,"  4,94 ","  1,01 ","  4,97 ",,,,,,,,,,,,
Duplex,  202 ,  202 ,  907 ,"  4,49 ","  1,00 ","  4,49 ",,,,,,,,,,,,
Multi-unit residential,  58 ,  58 ,  241 ,"  4,16 ","  1,00 ","  4,16 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  11 ,  11 ,  46 ,"  4,18 ","  1,00 ","  4,18 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  6 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Others,  3 ,  3 ,  18 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Not Reported,  17 ,  18 ,  81 ,"  4,50 ","  1,06 ","  4,76 ",,,,,,,,,,,,
 PAMPLONA,,,,,,,,,,,,,,,,,,
Total,  7.567 ,  7.583 ,  36.378 ,"  4,80 ","  1,00 ","  4,81 ",,,,,,,,,,,,
Single house,  7.023 ,  7.037 ,  34.016 ,"  4,83 ","  1,00 ","  4,84 ",,,,,,,,,,,,
Duplex,  438 ,  440 ,  1.908 ,"  4,34 ","  1,00 ","  4,36 ",,,,,,,,,,,,
Multi-unit residential,  83 ,  83 ,  353 ,"  4,25 ","  1,00 ","  4,25 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  14 ,  14 ,  55 ,"  3,93 ","  1,00 ","  3,93 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  8 ,  8 ,  44 ,"  5,50 ","  1,00 ","  5,50 ",,,,,,,,,,,,
 PASACAO,,,,,,,,,,,,,,,,,,
Total,  9.838 ,  9.948 ,  49.000 ,"  4,93 ","  1,01 ","  4,98 ",,,,,,,,,,,,
Single house,  9.038 ,  9.139 ,  45.434 ,"  4,97 ","  1,01 ","  5,03 ",,,,,,,,,,,,
Duplex,  578 ,  580 ,  2.554 ,"  4,40 ","  1,00 ","  4,42 ",,,,,,,,,,,,
Multi-unit residential,  156 ,  159 ,  719 ,"  4,52 ","  1,02 ","  4,61 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  53 ,  53 ,  230 ,"  4,34 ","  1,00 ","  4,34 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  12 ,  16 ,  60 ,"  3,75 ","  1,33 ","  5,00 ",,,,,,,,,,,,
 PILI (Capital),,,,,,,,,,,,,,,,,,
Total,  18.062 ,  18.178 ,  88.441 ,"  4,87 ","  1,01 ","  4,90 ",,,,,,,,,,,,
Single house,  16.068 ,  16.172 ,  79.908 ,"  4,94 ","  1,01 ","  4,97 ",,,,,,,,,,,,
Duplex,  1.251 ,  1.257 ,  5.441 ,"  4,33 ","  1,00 ","  4,35 ",,,,,,,,,,,,
Multi-unit residential,  690 ,  691 ,  2.834 ,"  4,10 ","  1,00 ","  4,11 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  25 ,  25 ,  116 ,"  4,64 ","  1,00 ","  4,64 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  6 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  27 ,  32 ,  136 ,"  4,25 ","  1,19 ","  5,04 ",,,,,,,,,,,,
 PRESENTACION (PARUBCAN),,,,,,,,,,,,,,,,,,
Total,  4.038 ,  4.048 ,  20.985 ,"  5,18 ","  1,00 ","  5,20 ",,,,,,,,,,,,
Single house,  3.982 ,  3.992 ,  20.687 ,"  5,18 ","  1,00 ","  5,20 ",,,,,,,,,,,,
Duplex,  40 ,  40 ,  210 ,"  5,25 ","  1,00 ","  5,25 ",,,,,,,,,,,,
Multi-unit residential,  10 ,  10 ,  53 ,"  5,30 ","  1,00 ","  5,30 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  5 ,  5 ,  34 ,"  6,80 ","  1,00 ","  6,80 ",,,,,,,,,,,,
 RAGAY,,,,,,,,,,,,,,,,,,
Total,  12.453 ,  12.496 ,  58.194 ,"  4,66 ","  1,00 ","  4,67 ",,,,,,,,,,,,
Single house,  11.908 ,  11.949 ,  55.789 ,"  4,67 ","  1,00 ","  4,69 ",,,,,,,,,,,,
Duplex,  416 ,  418 ,  1.821 ,"  4,36 ","  1,00 ","  4,38 ",,,,,,,,,,,,
Multi-unit residential,  73 ,  73 ,  332 ,"  4,55 ","  1,00 ","  4,55 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  32 ,  32 ,  119 ,"  3,72 ","  1,00 ","  3,72 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  17 ,"  8,50 ","  1,00 ","  8,50 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  22 ,  22 ,  116 ,"  5,27 ","  1,00 ","  5,27 ",,,,,,,,,,,,
 SAGÑAY,,,,,,,,,,,,,,,,,,
Total,  6.947 ,  6.981 ,  34.499 ,"  4,94 ","  1,00 ","  4,97 ",,,,,,,,,,,,
Single house,  6.582 ,  6.613 ,  32.706 ,"  4,95 ","  1,00 ","  4,97 ",,,,,,,,,,,,
Duplex,  286 ,  289 ,  1.416 ,"  4,90 ","  1,01 ","  4,95 ",,,,,,,,,,,,
Multi-unit residential,  71 ,  71 ,  342 ,"  4,82 ","  1,00 ","  4,82 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  9 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  6 ,  6 ,  26 ,"  4,33 ","  1,00 ","  4,33 ",,,,,,,,,,,,
 SAN FERNANDO,,,,,,,,,,,,,,,,,,
Total,  7.214 ,  7.246 ,  35.089 ,"  4,84 ","  1,00 ","  4,86 ",,,,,,,,,,,,
Single house,  6.925 ,  6.951 ,  33.810 ,"  4,86 ","  1,00 ","  4,88 ",,,,,,,,,,,,
Duplex,  244 ,  249 ,  1.096 ,"  4,40 ","  1,02 ","  4,49 ",,,,,,,,,,,,
Multi-unit residential,  35 ,  35 ,  146 ,"  4,17 ","  1,00 ","  4,17 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  7 ,  8 ,  27 ,"  3,38 ","  1,14 ","  3,86 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
