City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,"Lake, river, rain and others",Peddler,Bottled water,Others,Not Reported,,,,,,,,,,,,,,
CEBU CITY (Capital),  213.738 ,  24.843 ,  15.378 ,  1.670 ,  5.075 ,  483 ,  1.165 ,  8.011 ,  1.222 ,  201 ,  1.768 ,  153.647 ,  275 ,  -   ,,,,,,,,,,,,,,
LAPU-LAPU CITY (OPON),  99.573 ,  1.570 ,  2.358 ,  767 ,  2.754 ,  739 ,  702 ,  104 ,  7 ,  767 ,  1.650 ,  88.150 ,  5 ,  -   ,,,,,,,,,,,,,,
MANDAUE CITY,  94.547 ,  4.023 ,  4.805 ,  417 ,  1.054 ,  26 ,  9 ,  162 ,  -   ,  -   ,  792 ,  83.244 ,  15 ,  -   ,,,,,,,,,,,,,,
SIQUIJOR,  22.737 ,  6.537 ,  7.560 ,  114 ,  1.915 ,  120 ,  300 ,  765 ,  244 ,  11 ,  131 ,  5.040 ,  -   ,  -   ,,,,,,,,,,,,,,
ENRIQUE VILLANUEVA,  1.476 ,  386 ,  703 ,  3 ,  18 ,  2 ,  2 ,  5 ,  1 ,  3 ,  31 ,  322 ,  -   ,  -   ,,,,,,,,,,,,,,
LARENA,  3.115 ,  1.134 ,  683 ,  3 ,  34 ,  -   ,  22 ,  183 ,  16 ,  2 ,  1 ,  1.037 ,  -   ,  -   ,,,,,,,,,,,,,,
LAZI,  5.011 ,  959 ,  2.070 ,  32 ,  333 ,  62 ,  159 ,  253 ,  175 ,  3 ,  6 ,  959 ,  -   ,  -   ,,,,,,,,,,,,,,
MARIA,  3.164 ,  617 ,  860 ,  19 ,  630 ,  51 ,  82 ,  48 ,  29 ,  2 ,  3 ,  823 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN JUAN,  3.579 ,  781 ,  1.499 ,  39 ,  533 ,  4 ,  2 ,  121 ,  -   ,  -   ,  22 ,  578 ,  -   ,  -   ,,,,,,,,,,,,,,
SIQUIJOR (Capital),  6.392 ,  2.660 ,  1.745 ,  18 ,  367 ,  1 ,  33 ,  155 ,  23 ,  1 ,  68 ,  1.321 ,  -   ,  -   ,,,,,,,,,,,,,,
NEGROS ORIENTAL,  310.626 ,  80.342 ,  57.745 ,  9.821 ,  38.483 ,  5.013 ,  22.779 ,  29.642 ,  13.406 ,  225 ,  3.144 ,  49.664 ,  362 ,  -   ,,,,,,,,,,,,,,
AMLAN (AYUQUITAN),  5.525 ,  2.855 ,  1.143 ,  31 ,  261 ,  24 ,  21 ,  107 ,  -   ,  -   ,  46 ,  1.037 ,  -   ,  -   ,,,,,,,,,,,,,,
AYUNGON,  10.573 ,  3.986 ,  3.807 ,  104 ,  593 ,  71 ,  290 ,  998 ,  534 ,  -   ,  36 ,  154 ,  -   ,  -   ,,,,,,,,,,,,,,
BACONG,  8.265 ,  4.810 ,  1.398 ,  70 ,  511 ,  10 ,  15 ,  5 ,  -   ,  -   ,  6 ,  1.438 ,  2 ,  -   ,,,,,,,,,,,,,,
BAIS CITY,  17.693 ,  5.035 ,  3.903 ,  607 ,  2.577 ,  383 ,  1.130 ,  2.144 ,  330 ,  -   ,  186 ,  1.361 ,  37 ,  -   ,,,,,,,,,,,,,,
BASAY,  5.971 ,  155 ,  1.235 ,  158 ,  1.056 ,  522 ,  561 ,  448 ,  436 ,  -   ,  557 ,  842 ,  1 ,  -   ,,,,,,,,,,,,,,
CITY OF BAYAWAN (TULONG),  25.646 ,  2.198 ,  4.382 ,  801 ,  3.166 ,  435 ,  3.692 ,  2.597 ,  2.327 ,  -   ,  175 ,  5.819 ,  54 ,  -   ,,,,,,,,,,,,,,
BINDOY (PAYABON),  8.702 ,  3.089 ,  2.954 ,  257 ,  226 ,  211 ,  87 ,  559 ,  987 ,  -   ,  57 ,  269 ,  6 ,  -   ,,,,,,,,,,,,,,
CANLAON CITY,  12.692 ,  3.465 ,  2.410 ,  409 ,  1.328 ,  267 ,  671 ,  2.097 ,  816 ,  12 ,  103 ,  1.111 ,  3 ,  -   ,,,,,,,,,,,,,,
DAUIN,  6.520 ,  2.806 ,  1.522 ,  80 ,  241 ,  141 ,  109 ,  1 ,  10 ,  -   ,  173 ,  1.397 ,  40 ,  -   ,,,,,,,,,,,,,,
DUMAGUETE CITY (Capital),  29.750 ,  17.008 ,  2.933 ,  267 ,  927 ,  54 ,  32 ,  176 ,  5 ,  -   ,  220 ,  8.036 ,  92 ,  -   ,,,,,,,,,,,,,,
CITY OF GUIHULNGAN,  22.494 ,  1.347 ,  5.075 ,  782 ,  3.764 ,  429 ,  1.667 ,  3.726 ,  1.389 ,  -   ,  221 ,  4.087 ,  7 ,  -   ,,,,,,,,,,,,,,
JIMALALUD,  7.191 ,  257 ,  846 ,  228 ,  1.318 ,  80 ,  1.225 ,  1.859 ,  540 ,  -   ,  52 ,  783 ,  3 ,  -   ,,,,,,,,,,,,,,
LA LIBERTAD,  9.164 ,  1.740 ,  1.852 ,  1.143 ,  1.541 ,  193 ,  640 ,  961 ,  264 ,  18 ,  126 ,  672 ,  14 ,  -   ,,,,,,,,,,,,,,
MABINAY,  17.709 ,  1.696 ,  3.977 ,  758 ,  3.889 ,  629 ,  4.213 ,  757 ,  565 ,  -   ,  49 ,  1.171 ,  5 ,  -   ,,,,,,,,,,,,,,
MANJUYOD,  9.943 ,  2.250 ,  1.566 ,  511 ,  897 ,  164 ,  262 ,  2.651 ,  23 ,  1 ,  268 ,  1.349 ,  1 ,  -   ,,,,,,,,,,,,,,
PAMPLONA,  8.714 ,  3.232 ,  1.275 ,  120 ,  802 ,  2 ,  1.479 ,  1.023 ,  125 ,  -   ,  73 ,  583 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN JOSE,  4.607 ,  2.031 ,  1.448 ,  70 ,  515 ,  14 ,  78 ,  4 ,  -   ,  -   ,  4 ,  443 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA CATALINA,  16.873 ,  1.352 ,  3.164 ,  580 ,  3.030 ,  409 ,  1.773 ,  1.512 ,  1.759 ,  193 ,  161 ,  2.916 ,  24 ,  -   ,,,,,,,,,,,,,,
SIATON,  17.857 ,  2.539 ,  4.614 ,  1.185 ,  4.559 ,  403 ,  1.291 ,  892 ,  244 ,  -   ,  80 ,  2.048 ,  2 ,  -   ,,,,,,,,,,,,,,
SIBULAN,  13.903 ,  4.777 ,  2.360 ,  580 ,  1.258 ,  14 ,  104 ,  257 ,  87 ,  -   ,  22 ,  4.390 ,  54 ,  -   ,,,,,,,,,,,,,,
CITY OF TANJAY,  19.043 ,  4.609 ,  2.486 ,  481 ,  2.584 ,  247 ,  759 ,  1.867 ,  607 ,  -   ,  41 ,  5.362 ,  -   ,  -   ,,,,,,,,,,,,,,
TAYASAN,  8.623 ,  1.767 ,  900 ,  49 ,  422 ,  55 ,  682 ,  2.575 ,  1.693 ,  1 ,  9 ,  466 ,  4 ,  -   ,,,,,,,,,,,,,,
VALENCIA (LUZURRIAGA),  7.990 ,  4.683 ,  378 ,  14 ,  73 ,  11 ,  26 ,  188 ,  157 ,  -   ,  3 ,  2.455 ,  2 ,  -   ,,,,,,,,,,,,,,
VALLEHERMOSO,  8.571 ,  970 ,  1.256 ,  128 ,  1.361 ,  235 ,  1.350 ,  2.133 ,  486 ,  -   ,  134 ,  513 ,  5 ,  -   ,,,,,,,,,,,,,,
ZAMBOANGUITA,  6.607 ,  1.685 ,  861 ,  408 ,  1.584 ,  10 ,  622 ,  105 ,  22 ,  -   ,  342 ,  962 ,  6 ,  -   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII - EASTERN VISAYAS,  985.418 ,  179.622 ,  310.193 ,  29.867 ,  159.112 ,  26.356 ,  56.607 ,  49.691 ,  13.352 ,  7.932 ,  19.469 ,  132.597 ,  620 ,  -   ,,,,,,,,,,,,,,
BILIRAN,  38.518 ,  20.562 ,  12.019 ,  336 ,  1.393 ,  314 ,  530 ,  867 ,  277 ,  63 ,  108 ,  1.949 ,  100 ,  -   ,,,,,,,,,,,,,,
ALMERIA,  4.043 ,  3.447 ,  513 ,  -   ,  4 ,  1 ,  -   ,  28 ,  2 ,  3 ,  -   ,  45 ,  -   ,  -   ,,,,,,,,,,,,,,
BILIRAN,  3.866 ,  2.161 ,  1.550 ,  3 ,  13 ,  1 ,  9 ,  9 ,  12 ,  3 ,  2 ,  103 ,  -   ,  -   ,,,,,,,,,,,,,,
CABUCGAYAN,  4.751 ,  1.911 ,  1.464 ,  49 ,  450 ,  119 ,  280 ,  71 ,  5 ,  35 ,  2 ,  365 ,  -   ,  -   ,,,,,,,,,,,,,,
CAIBIRAN,  4.808 ,  1.778 ,  1.853 ,  3 ,  111 ,  -   ,  18 ,  44 ,  113 ,  -   ,  1 ,  797 ,  90 ,  -   ,,,,,,,,,,,,,,
CULABA,  2.727 ,  1.554 ,  814 ,  32 ,  16 ,  -   ,  123 ,  126 ,  35 ,  8 ,  1 ,  18 ,  -   ,  -   ,,,,,,,,,,,,,,
KAWAYAN,  4.631 ,  2.651 ,  1.462 ,  104 ,  158 ,  17 ,  6 ,  -   ,  24 ,  7 ,  70 ,  132 ,  -   ,  -   ,,,,,,,,,,,,,,
MARIPIPI,  1.668 ,  186 ,  287 ,  131 ,  574 ,  167 ,  30 ,  284 ,  4 ,  -   ,  1 ,  4 ,  -   ,  -   ,,,,,,,,,,,,,,
NAVAL (Capital),  12.024 ,  6.874 ,  4.076 ,  14 ,  67 ,  9 ,  64 ,  305 ,  82 ,  7 ,  31 ,  485 ,  10 ,  -   ,,,,,,,,,,,,,,
EASTERN SAMAR,  106.292 ,  7.619 ,  25.008 ,  3.483 ,  26.007 ,  6.034 ,  2.274 ,  6.942 ,  1.722 ,  1.568 ,  574 ,  25.058 ,  3 ,  -   ,,,,,,,,,,,,,,
ARTECHE,  3.505 ,  68 ,  864 ,  102 ,  925 ,  533 ,  374 ,  132 ,  107 ,  1 ,  29 ,  370 ,  -   ,  -   ,,,,,,,,,,,,,,
BALANGIGA,  3.277 ,  601 ,  1.573 ,  21 ,  603 ,  3 ,  16 ,  125 ,  13 ,  10 ,  -   ,  312 ,  -   ,  -   ,,,,,,,,,,,,,,
BALANGKAYAN,  2.375 ,  507 ,  546 ,  22 ,  800 ,  -   ,  -   ,  17 ,  2 ,  256 ,  -   ,  225 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF BORONGAN (Capital),  15.120 ,  752 ,  1.730 ,  715 ,  2.890 ,  1.718 ,  31 ,  1.262 ,  186 ,  22 ,  33 ,  5.781 ,  -   ,  -   ,,,,,,,,,,,,,,
CAN-AVID,  4.505 ,  112 ,  728 ,  141 ,  1.696 ,  185 ,  257 ,  885 ,  130 ,  1 ,  2 ,  368 ,  -   ,  -   ,,,,,,,,,,,,,,
DOLORES,  9.451 ,  358 ,  2.331 ,  301 ,  3.704 ,  177 ,  164 ,  566 ,  189 ,  198 ,  -   ,  1.463 ,  -   ,  -   ,,,,,,,,,,,,,,
GENERAL MACARTHUR,  3.034 ,  415 ,  1.372 ,  9 ,  71 ,  1 ,  3 ,  26 ,  78 ,  215 ,  -   ,  844 ,  -   ,  -   ,,,,,,,,,,,,,,
GIPORLOS,  3.224 ,  133 ,  902 ,  174 ,  1.513 ,  4 ,  67 ,  113 ,  4 ,  37 ,  2 ,  275 ,  -   ,  -   ,,,,,,,,,,,,,,
GUIUAN,  12.448 ,  685 ,  1.334 ,  53 ,  827 ,  327 ,  346 ,  679 ,  2 ,  634 ,  13 ,  7.547 ,  1 ,  -   ,,,,,,,,,,,,,,
HERNANI,  2.060 ,  148 ,  535 ,  7 ,  453 ,  4 ,  -   ,  784 ,  26 ,  4 ,  1 ,  98 ,  -   ,  -   ,,,,,,,,,,,,,,
JIPAPAD,  1.728 ,  3 ,  1.446 ,  6 ,  59 ,  102 ,  2 ,  3 ,  81 ,  19 ,  -   ,  7 ,  -   ,  -   ,,,,,,,,,,,,,,
LAWAAN,  3.021 ,  155 ,  408 ,  40 ,  907 ,  50 ,  157 ,  18 ,  10 ,  6 ,  -   ,  1.270 ,  -   ,  -   ,,,,,,,,,,,,,,
LLORENTE,  4.768 ,  520 ,  664 ,  813 ,  2.192 ,  3 ,  1 ,  97 ,  123 ,  22 ,  1 ,  332 ,  -   ,  -   ,,,,,,,,,,,,,,
MASLOG,  1.077 ,  10 ,  902 ,  -   ,  1 ,  11 ,  -   ,  140 ,  5 ,  -   ,  -   ,  8 ,  -   ,  -   ,,,,,,,,,,,,,,
MAYDOLONG,  3.247 ,  145 ,  1.038 ,  19 ,  344 ,  2 ,  8 ,  244 ,  87 ,  22 ,  22 ,  1.315 ,  1 ,  -   ,,,,,,,,,,,,,,
MERCEDES,  1.530 ,  6 ,  255 ,  25 ,  130 ,  2 ,  9 ,  1 ,  -   ,  2 ,  408 ,  692 ,  -   ,  -   ,,,,,,,,,,,,,,
ORAS,  8.618 ,  621 ,  1.219 ,  367 ,  3.721 ,  1.520 ,  68 ,  546 ,  51 ,  17 ,  -   ,  488 ,  -   ,  -   ,,,,,,,,,,,,,,
QUINAPONDAN,  3.388 ,  486 ,  1.723 ,  34 ,  97 ,  3 ,  161 ,  468 ,  168 ,  15 ,  8 ,  225 ,  -   ,  -   ,,,,,,,,,,,,,,
SALCEDO,  5.211 ,  458 ,  1.406 ,  95 ,  925 ,  22 ,  299 ,  338 ,  141 ,  61 ,  37 ,  1.429 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN JULIAN,  3.369 ,  395 ,  918 ,  22 ,  746 ,  12 ,  247 ,  204 ,  49 ,  1 ,  -   ,  775 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN POLICARPO,  3.271 ,  27 ,  937 ,  116 ,  406 ,  1.345 ,  9 ,  6 ,  173 ,  -   ,  7 ,  244 ,  1 ,  -   ,,,,,,,,,,,,,,
SULAT,  3.677 ,  355 ,  999 ,  175 ,  1.361 ,  9 ,  34 ,  94 ,  89 ,  15 ,  1 ,  545 ,  -   ,  -   ,,,,,,,,,,,,,,
TAFT,  4.388 ,  659 ,  1.178 ,  226 ,  1.636 ,  1 ,  21 ,  194 ,  8 ,  10 ,  10 ,  445 ,  -   ,  -   ,,,,,,,,,,,,,,
LEYTE (excluding Tacloban City),  405.438 ,  78.061 ,  127.145 ,  13.746 ,  76.434 ,  7.488 ,  32.096 ,  17.978 ,  4.171 ,  2.611 ,  7.347 ,  38.135 ,  226 ,  -   ,,,,,,,,,,,,,,
ABUYOG,  13.508 ,  665 ,  3.264 ,  518 ,  2.725 ,  96 ,  1.803 ,  1.955 ,  521 ,  10 ,  134 ,  1.809 ,  8 ,  -   ,,,,,,,,,,,,,,
ALANGALANG,  12.768 ,  248 ,  852 ,  492 ,  6.606 ,  314 ,  2.034 ,  293 ,  205 ,  8 ,  10 ,  1.706 ,  -   ,  -   ,,,,,,,,,,,,,,
ALBUERA,  11.067 ,  1.432 ,  3.183 ,  1.301 ,  3.420 ,  114 ,  212 ,  224 ,  78 ,  373 ,  127 ,  603 ,  -   ,  -   ,,,,,,,,,,,,,,
BABATNGON,  6.108 ,  168 ,  2.420 ,  149 ,  1.548 ,  177 ,  595 ,  307 ,  4 ,  9 ,  18 ,  713 ,  -   ,  -   ,,,,,,,,,,,,,,
BARUGO,  6.919 ,  1.380 ,  1.916 ,  158 ,  1.623 ,  223 ,  579 ,  339 ,  20 ,  1 ,  155 ,  522 ,  3 ,  -   ,,,,,,,,,,,,,,
BATO,  8.691 ,  512 ,  1.984 ,  469 ,  1.950 ,  248 ,  232 ,  828 ,  221 ,  692 ,  491 ,  1.055 ,  9 ,  -   ,,,,,,,,,,,,,,
CITY OF BAYBAY,  26.180 ,  10.905 ,  10.035 ,  307 ,  1.501 ,  248 ,  582 ,  1.150 ,  51 ,  99 ,  322 ,  977 ,  3 ,  -   ,,,,,,,,,,,,,,
BURAUEN,  12.577 ,  5.041 ,  4.816 ,  393 ,  1.260 ,  49 ,  428 ,  369 ,  173 ,  20 ,  8 ,  18 ,  2 ,  -   ,,,,,,,,,,,,,,
CALUBIAN,  7.858 ,  104 ,  1.017 ,  192 ,  1.593 ,  117 ,  2.009 ,  269 ,  47 ,  21 ,  1.729 ,  760 ,  -   ,  -   ,,,,,,,,,,,,,,
CAPOOCAN,  7.332 ,  588 ,  4.712 ,  116 ,  143 ,  2 ,  48 ,  1.118 ,  233 ,  12 ,  173 ,  183 ,  4 ,  -   ,,,,,,,,,,,,,,
CARIGARA,  11.303 ,  2.730 ,  3.346 ,  425 ,  855 ,  9 ,  1.701 ,  1.012 ,  226 ,  90 ,  2 ,  907 ,  -   ,  -   ,,,,,,,,,,,,,,
DAGAMI,  8.433 ,  1.033 ,  3.924 ,  282 ,  1.491 ,  131 ,  986 ,  209 ,  274 ,  37 ,  33 ,  31 ,  2 ,  -   ,,,,,,,,,,,,,,
DULAG,  11.838 ,  130 ,  218 ,  1.978 ,  7.974 ,  82 ,  392 ,  11 ,  2 ,  60 ,  208 ,  781 ,  2 ,  -   ,,,,,,,,,,,,,,
HILONGOS,  14.394 ,  996 ,  2.616 ,  786 ,  5.881 ,  133 ,  317 ,  253 ,  71 ,  376 ,  10 ,  2.947 ,  8 ,  -   ,,,,,,,,,,,,,,
HINDANG,  4.994 ,  622 ,  1.205 ,  484 ,  1.603 ,  137 ,  122 ,  446 ,  16 ,  130 ,  11 ,  218 ,  -   ,  -   ,,,,,,,,,,,,,,
INOPACAN,  4.912 ,  2.367 ,  1.194 ,  156 ,  391 ,  3 ,  24 ,  305 ,  62 ,  112 ,  2 ,  296 ,  -   ,  -   ,,,,,,,,,,,,,,
ISABEL,  11.201 ,  4.851 ,  1.858 ,  330 ,  1.253 ,  20 ,  164 ,  358 ,  6 ,  96 ,  9 ,  2.232 ,  24 ,  -   ,,,,,,,,,,,,,,
JARO,  9.747 ,  1.670 ,  2.502 ,  516 ,  1.646 ,  78 ,  800 ,  1.884 ,  416 ,  41 ,  19 ,  172 ,  3 ,  -   ,,,,,,,,,,,,,,
JAVIER (BUGHO),  6.024 ,  494 ,  2.007 ,  339 ,  2.042 ,  248 ,  432 ,  209 ,  15 ,  31 ,  2 ,  204 ,  1 ,  -   ,,,,,,,,,,,,,,
JULITA,  3.840 ,  263 ,  374 ,  431 ,  2.366 ,  17 ,  223 ,  15 ,  -   ,  11 ,  5 ,  135 ,  -   ,  -   ,,,,,,,,,,,,,,
KANANGA,  12.921 ,  3.303 ,  5.276 ,  200 ,  1.463 ,  60 ,  964 ,  679 ,  114 ,  55 ,  81 ,  725 ,  1 ,  -   ,,,,,,,,,,,,,,
LA PAZ,  4.980 ,  751 ,  1.720 ,  110 ,  520 ,  1.283 ,  237 ,  178 ,  56 ,  4 ,  28 ,  91 ,  2 ,  -   ,,,,,,,,,,,,,,
LEYTE,  9.101 ,  622 ,  4.638 ,  305 ,  1.880 ,  8 ,  1.226 ,  33 ,  90 ,  58 ,  82 ,  158 ,  1 ,  -   ,,,,,,,,,,,,,,
MACARTHUR,  5.109 ,  876 ,  1.396 ,  336 ,  1.756 ,  67 ,  93 ,  174 ,  42 ,  19 ,  17 ,  333 ,  -   ,  -   ,,,,,,,,,,,,,,
MAHAPLAG,  6.238 ,  1.533 ,  4.219 ,  55 ,  133 ,  6 ,  105 ,  60 ,  6 ,  35 ,  35 ,  51 ,  -   ,  -   ,,,,,,,,,,,,,,
MATAG-OB,  4.570 ,  1.239 ,  1.926 ,  10 ,  157 ,  14 ,  177 ,  351 ,  148 ,  2 ,  36 ,  510 ,  -   ,  -   ,,,,,,,,,,,,,,
MATALOM,  7.537 ,  1.615 ,  2.408 ,  105 ,  1.164 ,  65 ,  972 ,  616 ,  132 ,  4 ,  117 ,  336 ,  3 ,  -   ,,,,,,,,,,,,,,
MAYORGA,  4.236 ,  53 ,  447 ,  436 ,  2.593 ,  99 ,  500 ,  2 ,  1 ,  1 ,  4 ,  100 ,  -   ,  -   ,,,,,,,,,,,,,,
MERIDA,  7.923 ,  3.280 ,  2.161 ,  69 ,  793 ,  172 ,  524 ,  128 ,  76 ,  14 ,  92 ,  613 ,  1 ,  -   ,,,,,,,,,,,,,,
ORMOC CITY,  49.906 ,  16.903 ,  16.274 ,  507 ,  4.499 ,  832 ,  1.155 ,  2.054 ,  364 ,  46 ,  2.010 ,  5.224 ,  38 ,  -   ,,,,,,,,,,,,,,
PALO,  15.730 ,  3.980 ,  8.751 ,  69 ,  94 ,  -   ,  317 ,  80 ,  -   ,  -   ,  565 ,  1.790 ,  84 ,  -   ,,,,,,,,,,,,,,
PALOMPON,  14.514 ,  1.669 ,  2.714 ,  278 ,  2.210 ,  627 ,  645 ,  1.660 ,  149 ,  12 ,  170 ,  4.372 ,  8 ,  -   ,,,,,,,,,,,,,,
PASTRANA,  4.331 ,  570 ,  2.978 ,  35 ,  311 ,  17 ,  390 ,  -   ,  -   ,  1 ,  6 ,  23 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN ISIDRO,  7.882 ,  101 ,  288 ,  82 ,  404 ,  287 ,  4.738 ,  5 ,  4 ,  7 ,  39 ,  1.927 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN MIGUEL,  4.309 ,  737 ,  842 ,  53 ,  968 ,  49 ,  682 ,  111 ,  182 ,  87 ,  302 ,  296 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA FE,  4.741 ,  143 ,  2.510 ,  93 ,  908 ,  21 ,  835 ,  28 ,  42 ,  -   ,  31 ,  130 ,  -   ,  -   ,,,,,,,,,,,,,,
TABANGO,  8.227 ,  201 ,  1.814 ,  107 ,  1.697 ,  413 ,  1.856 ,  19 ,  1 ,  36 ,  198 ,  1.885 ,  -   ,  -   ,,,,,,,,,,,,,,
TABONTABON,  2.780 ,  251 ,  1.578 ,  136 ,  573 ,  71 ,  111 ,  6 ,  -   ,  -   ,  -   ,  54 ,  -   ,  -   ,,,,,,,,,,,,,,
TANAUAN,  13.518 ,  1.955 ,  6.995 ,  370 ,  2.401 ,  72 ,  1.072 ,  20 ,  1 ,  -   ,  13 ,  608 ,  11 ,  -   ,,,,,,,,,,,,,,
TOLOSA,  5.073 ,  279 ,  386 ,  317 ,  2.105 ,  609 ,  625 ,  3 ,  2 ,  -   ,  11 ,  732 ,  4 ,  -   ,,,,,,,,,,,,,,
TUNGA,  1.597 ,  584 ,  302 ,  165 ,  353 ,  15 ,  52 ,  23 ,  2 ,  -   ,  -   ,  101 ,  -   ,  -   ,,,,,,,,,,,,,,
VILLABA,  10.521 ,  1.217 ,  4.079 ,  86 ,  1.581 ,  255 ,  1.137 ,  194 ,  118 ,  1 ,  42 ,  1.807 ,  4 ,  -   ,,,,,,,,,,,,,,
TACLOBAN CITY (Capital),  50.451 ,  8.821 ,  18.290 ,  225 ,  1.949 ,  272 ,  1.227 ,  901 ,  239 ,  29 ,  3.196 ,  15.181 ,  121 ,  -   ,,,,,,,,,,,,,,
NORTHERN SAMAR,  126.619 ,  4.652 ,  33.883 ,  8.920 ,  24.750 ,  10.668 ,  11.415 ,  9.464 ,  3.236 ,  907 ,  3.644 ,  14.950 ,  130 ,  -   ,,,,,,,,,,,,,,
ALLEN,  5.543 ,  118 ,  1.720 ,  241 ,  955 ,  62 ,  591 ,  206 ,  11 ,  13 ,  66 ,  1.543 ,  17 ,  -   ,,,,,,,,,,,,,,
BIRI,  2.269 ,  294 ,  926 ,  123 ,  81 ,  131 ,  538 ,  37 ,  41 ,  1 ,  1 ,  96 ,  -   ,  -   ,,,,,,,,,,,,,,
BOBON,  4.873 ,  522 ,  1.075 ,  941 ,  1.026 ,  2 ,  367 ,  16 ,  16 ,  16 ,  178 ,  714 ,  -   ,  -   ,,,,,,,,,,,,,,
CAPUL,  2.504 ,  90 ,  688 ,  278 ,  1.029 ,  2 ,  125 ,  207 ,  1 ,  2 ,  -   ,  82 ,  -   ,  -   ,,,,,,,,,,,,,,
CATARMAN (Capital),  19.091 ,  769 ,  2.435 ,  1.930 ,  3.964 ,  1.812 ,  1.904 ,  617 ,  279 ,  51 ,  741 ,  4.582 ,  7 ,  -   ,,,,,,,,,,,,,,
CATUBIG,  6.514 ,  145 ,  3.542 ,  10 ,  170 ,  3 ,  86 ,  1.710 ,  122 ,  38 ,  245 ,  349 ,  94 ,  -   ,,,,,,,,,,,,,,
GAMAY,  5.263 ,  111 ,  516 ,  379 ,  2.286 ,  110 ,  34 ,  776 ,  176 ,  86 ,  617 ,  172 ,  -   ,  -   ,,,,,,,,,,,,,,
LAOANG,  12.283 ,  176 ,  1.880 ,  444 ,  3.203 ,  312 ,  3.985 ,  449 ,  42 ,  46 ,  120 ,  1.624 ,  2 ,  -   ,,,,,,,,,,,,,,
LAPINIG,  2.483 ,  18 ,  471 ,  210 ,  1.670 ,  -   ,  18 ,  91 ,  -   ,  -   ,  -   ,  5 ,  -   ,  -   ,,,,,,,,,,,,,,
LAS NAVAS,  7.133 ,  261 ,  3.358 ,  53 ,  433 ,  4 ,  658 ,  753 ,  868 ,  213 ,  93 ,  439 ,  -   ,  -   ,,,,,,,,,,,,,,
LAVEZARES,  6.133 ,  173 ,  2.382 ,  272 ,  1.462 ,  135 ,  78 ,  764 ,  134 ,  26 ,  337 ,  370 ,  -   ,  -   ,,,,,,,,,,,,,,
MAPANAS,  2.785 ,  21 ,  324 ,  687 ,  1.137 ,  -   ,  1 ,  590 ,  14 ,  2 ,  -   ,  9 ,  -   ,  -   ,,,,,,,,,,,,,,
MONDRAGON,  7.593 ,  483 ,  428 ,  1.744 ,  1.874 ,  777 ,  1.036 ,  407 ,  29 ,  54 ,  256 ,  505 ,  -   ,  -   ,,,,,,,,,,,,,,
PALAPAG,  6.957 ,  274 ,  1.294 ,  233 ,  204 ,  3.512 ,  310 ,  610 ,  193 ,  66 ,  5 ,  248 ,  8 ,  -   ,,,,,,,,,,,,,,
PAMBUJAN,  6.115 ,  73 ,  603 ,  91 ,  862 ,  2.989 ,  190 ,  111 ,  617 ,  26 ,  -   ,  551 ,  2 ,  -   ,,,,,,,,,,,,,,
ROSARIO,  2.080 ,  146 ,  872 ,  95 ,  258 ,  8 ,  387 ,  3 ,  -   ,  1 ,  114 ,  196 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN ANTONIO,  1.880 ,  39 ,  570 ,  36 ,  133 ,  122 ,  60 ,  35 ,  1 ,  24 ,  458 ,  402 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN ISIDRO,  5.666 ,  240 ,  3.935 ,  109 ,  318 ,  67 ,  8 ,  347 ,  55 ,  1 ,  100 ,  486 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN JOSE,  3.907 ,  299 ,  976 ,  64 ,  683 ,  86 ,  483 ,  14 ,  2 ,  -   ,  3 ,  1.297 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN ROQUE,  5.106 ,  210 ,  1.002 ,  923 ,  1.735 ,  501 ,  404 ,  19 ,  2 ,  4 ,  6 ,  300 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN VICENTE,  1.644 ,  17 ,  404 ,  12 ,  516 ,  -   ,  56 ,  38 ,  -   ,  16 ,  219 ,  366 ,  -   ,  -   ,,,,,,,,,,,,,,
SILVINO LOBOS,  2.735 ,  7 ,  1.274 ,  -   ,  64 ,  8 ,  7 ,  953 ,  355 ,  66 ,  -   ,  1 ,  -   ,  -   ,,,,,,,,,,,,,,
VICTORIA,  3.215 ,  103 ,  1.898 ,  25 ,  364 ,  10 ,  80 ,  52 ,  -   ,  62 ,  84 ,  537 ,  -   ,  -   ,,,,,,,,,,,,,,
